iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_production_start,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax
BOL,BOL0004,"Bolivia, Plurinational State of",Integrated,Viacha Plant,Sociedad Boliviana de Cemento (SOBOCE),"Viacha, La Paz Department",Operating,-16.64719411,-68.31693395,GCD,Exact,4296767075,Sociedad Boliviana de Cemento SA,2,,https://www.soboce.com/planta_viacha.asp,2/13/2020,4296767075,Sociedad Boliviana de Cemento SA,3 Dry - 0.9Mt/yr,3,DRY,,,0.9,Mt/yr,Cuan Carlos Riquea,Tel: +591 2280 0101,Fax: +591 2800 284
BOL,BOL0005,"Bolivia, Plurinational State of",Integrated,,Itacamba Cemento (Votorantim),"Yacuses, Germán Busch Province",Operating,-18.951114,-58.278028,GCD,Exact,5036160403,Itacamba Cemento SA,0.95,,http://www.itacamba.com/empresa/planta-integral-yacuses/,2/11/2020,5000075361,Votorantim SA,0.9Mt/yr,,,,,0.9,Mt/yr,,Tel: +591 33 481 007,
BRA,BRA0001,Brazil,Integrated,Sete Lagoas Plant,Cimento Nacional,"Zona Rural, Sete Lagoas, Minas Gerais",Operating,-19.513164,-44.276622,GCD,Exact,5064630576,BCPAR SA,2.4,,http://www.cimentonacional.com.br/index.php/page/institucional?grupo,2/7/2020,4295875751,Buzzi Unicem SpA,1.0Mt/yr,,,,,1,Mt/yr,,,
BRA,BRA0002,Brazil,Integrated,,Ricardo Brennand,"Pitimbu, Paraiba",Operating,-7.477499,-34.844648,GCD,Exact,5064630576,BCPAR SA,1.7,,http://www.cimentonacional.com.br/index.php/page/institucional?grupo,2/7/2020,4295875751,Buzzi Unicem SpA,1.5Mt/yr,,,,,1.5,Mt/yr,,Tel: +55 83 3565 4000,
BRA,BRA0036,Brazil,Grinding,,Provale,"Cachoeiro de Itapemirim, Esprito Santo",Operating,-20.729127,-41.1287,GCD,Exact,,PROcim,0.19,,http://www.grupoprovale.com/en/about-us,3/20/2020,5038033096,Provale Holding SA,"190,000t/yr white & oil well cement (Announced in 2014)",,,,,,,,,
BRA,BRA0037,Brazil,Integrated,,Supremo Cementos (50% SECIL),"Testo Central, Pomerode, Santa Caterina",Operating,-26.81866978,-49.15697553,GCD,Exact,5036893294,Supremo Cimentos SA,0.4,,http://www.secil-group.com/a-secil/a-secil-no-mundo/?lang=en#secil_no_mundo_tunisia_en,3/20/2020,4295886745,Secil Companhia Geral de Cal e Cimento SA,1 Dry - 0.3Mt/yr,1,DRY,,,0.3,Mt/yr,Flávio Ladeira Amâncio,Tel: +55 47 3242 2128,Fax: + 55 47 3242 2133
BRA,BRA0038,Brazil,Integrated,,Supremo Cementos (50% SECIL),"Adrianopolis, Paraná",Operating,-24.669459,-48.979959,GCD,Exact,5036893294,Supremo Cimentos SA,1.8,2015,http://www.secil-group.com/a-secil/a-secil-no-mundo/?lang=en#secil_no_mundo_tunisia_en,3/20/2020,4295886745,Secil Companhia Geral de Cal e Cimento SA,1.7Mt/yr,,,,,1.7,Mt/yr,,Tel: +55 41 3678 1192,
BRN,BRN0001,Brunei Darussalam,Grinding,Butra HeidelbergCement Plant,Butra HeidelbergCement,"Serasa Industrial Area, Muara",Operating,5.012333,115.064836,GCD,Exact,4296791822,BUTRA HEIDELBERGCEMENT SDN BHD,0.5,1996,http://www.bruneicement.com/about-us/history.htm,2/8/2020,4295868961,HeidelbergCement AG,0.55Mt/yr,,,,,0.55,Mt/yr,Dennis Javier,Tel: +673 277 1395 ( / 8),Fax: +673 277 1404
CMR,CMR0001,Cameroon,Grinding,Douala Plant,Dangote Industries Cameroon,"Douala, Littoral",Operating,4.068956866,9.699082574,GCD,Exact,5001198258,Dangote Cement PLC,1.5,2015,http://www.dangotecement.com/operations/cameroon/,2/7/2020,5001198258,Dangote Cement PLC,1.5Mt/yr,,,,,1.5,Mt/yr,,Tel: +237 699 7171 82,
CAN,CAN0014,Canada,Integrated,Exshaw Plant,Lafarge North America (LafargeHolcim),"Exshaw, Alberta",Operating,51.060709,-115.171522,GCD,Exact,4295860729,Lafarge Canada Inc,2.2,,https://lafargeexshaw.ca/,2/9/2020,4295890620,LafargeHolcim Ltd,3 Dry - 2.2Mt/yr,3,DRY,,,2.2,Mt/yr,Jim Bachmann,Tel: +1 403 673 5127,Fax: +1 403 673 2069
CHN,CHN0001,China,Grinding,Suixi Industrial Area,Anhui Conch,"Suixi, Zhanjiang (524335), Guangdong",Operating,21.331892,110.303199,GCD,Exact,5000014915,Zhanjiang Conch Cement Co Ltd,3.2,2008,http://english.conch.cn/11133439790/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,3.2Mt/yr - Grinding System: 4x (Φ4.2m x14.5m),,,,,3.2,Mt/yr,,Tel: +86 759 7789099,Fax: +86 759 7789000
CHN,CHN0002,China,,,Anhui Conch,,Operating,21.690076,110.837207,http://english.conch.cn/1113343979098040032/list.aspx,Exact,5041748285,Maoming Dadi Cement Co Ltd,1.5,2009,http://english.conch.cn/1113343979098040032/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,,,,,,,,,,
CHN,CHN0003,China,Grinding,Jiangmen Conch Cement,Anhui Conch,"Xinhui, Jiangmen (529145), Guangdong",Operating,22.215127,113.099766,GCD,Exact,5000014522,Jiangmen Conch Cement Co Ltd,3.2,2005,http://english.conch.cn/1113343/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,3.3Mt/yr - Grinding System: 4x (Φ4.2m x14.5m),,,,,3.3,Mt/yr,,Tel: +86 750 8256007,Fax: +86 750 8256088
CHN,CHN0006,China,Integrated,Xingye Kuiyang Cement,Anhui Conch Cement,"Kuiyang, Xingye, Yulin, Guangxi",Operating,22.709022,109.805221,GCD,Exact,5000014810,Xingye Kuiyang Conch Cement Co Ltd,3.6,2005,http://english.conch.cn/1111/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,1 Dry - 1.56Mt/yr,1,DRY,,,1.56,Mt/yr,,+86-775-3777833,+86-775-3777999
CHN,CHN0007,China,Integrated,,Anhui Conch Cement,"Min’an Industrial Park, Beiliu, Yulin, Guangxi",Operating,22.766407,110.420957,GCD,Exact,5000037027,Beiliu Conch Cement Co Ltd,3.6,2009,http://english.conch.cn/111334397901/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,2 Dry - 3.12Mt/yr,2,DRY,,,3.12,Mt/yr,,+86-775-6207788,+86-775-6207777
CHN,CHN0009,China,,,Anhui Conch,,Operating,23.126318,107.657118,http://english.conch.cn/1113343979098041/list.aspx,Exact,,Longan Conch Cement Co Ltd,4.2,,http://english.conch.cn/1113343979098041/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,,,,,,,,,,
CHN,CHN0013,China,,,Anhui Conch,,Operating,24.206132,106.602861,http://english.conch.cn/1113343979098041/list.aspx,Exact,5037968703,Guangxi Lingyun Tonghong Cement Co Ltd,2.3,2009,http://english.conch.cn/11133439790980400321/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,,,,,,,,,,
CHN,CHN0014,China,Integrated,Yingde Conch Cement,Anhui Conch Cement,"Wangbu, Yingde, Qingyuan, Guangdong",Operating,24.268659,113.415031,GCD,Exact,5000065508,Yingde Conch Cement Co Ltd,6.4,2006,http://english.conch.cn/ahwhhl1994711111/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,4 Dry - 6.24Mt/yr,4,DRY,,,6.24,Mt/yr,,+86-763-2598818,+86-763-2598830
CHN,CHN0021,China,,,Anhui Conch,,Operating,25.45623,114.889669,http://english.conch.cn/jiangsusheng006297150843578311/list.aspx,Exact,,Ganzhou Conch Cement Co Ltd,2.92,,http://english.conch.cn/jiangsusheng006297150843578311/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,,,,,,,,,,
CHN,CHN0022,China,Integrated,Xing’an Cement,Anhui Conch Cement,"Xing’an, Xing’an, Guilin, Guangxi",Operating,25.636225,110.658047,GCD,Exact,5000067466,Xingan Conch Cement Co Ltd,7.9,2009,http://english.conch.cn/ahwhhl19947111111/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,3 Dry - 11.25Mt/yr,3,DRY,,,11.25,Mt/yr,,+86-773-6233034,+86-773-6233088
CHN,CHN0033,China,,,Anhui Conch,,Operating,27.673947,111.866676,http://english.conch.cn/1113343979098041/list.aspx,Exact,,Lianyuan Conch Cement Co Ltd,2.2,2011,http://english.conch.cn/11111295232542723501551418827/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,,,,,,,,,,
CHN,CHN0035,China,Integrated,Cement,Anhui Conch Cement,"Xihe, Xinhua, Loudi, Hunan",Operating,27.834027,111.172324,GCD,Exact,5000075658,Hunan Conch Cement Co Ltd,4.4,2009,http://english.conch.cn/1111123/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,1 Dry - 1.56Mt/yr,1,DRY,,,1.56,Mt/yr,,Hunan Xinhua Conch +86-738-3527212,+86-738-3527009
CHN,CHN0036,China,Integrated,Fenyi Conch Cement,Anhui Conch Cement,"Huze, Fenyi, Xinyu, Jiangxi",Operating,27.859691,114.747611,GCD,Exact,5000051451,Fenyi Conch Cement Co Ltd,2.8,1963,http://english.conch.cn/ahwhhl1994711/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,2 Dry - 1.56Mt/yr,2,DRY,,,1.56,Mt/yr,,+86-790-5715108,+86-790-5715098
CHN,CHN0037,China,,,Anhui Conch,,Operating,28.161762,121.095623,http://english.conch.cn/jiangsusheng0062971508435783012011/list.aspx,Exact,,Yueqing Conch Cement Co Ltd,2,2015,http://english.conch.cn/jiangsusheng0062971508435783012011/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,,,,,,,,,,
CHN,CHN0038,China,,,Anhui Conch,,Operating,28.216826,111.660772,http://english.conch.cn/1113343979098041/list.aspx,Exact,5036205960,Hunan Yiyang Conch Cement Co Ltd,2.2,2014,http://english.conch.cn/11111295232542723/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,,,,,,,,,,
CHN,CHN0039,China,,,Anhui Conch,,Operating,28.301628,116.445885,http://english.conch.cn/jiangsusheng00629715084311/list.aspx,Exact,5041748290,Jinxian Conch Cement Co Ltd,2.2,2015,http://english.conch.cn/jiangsusheng00629715084311/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,,,,,,,,,,
CHN,CHN0040,China,Grinding,Nanchang Plant,Anhui Conch,"1699 North Road, Nanchang (330200), Jiangxi",Operating,28.492576,115.951121,GCD,Exact,4298500103,Nanchang Conch Cement Co Ltd,1.5,2003,http://english.conch.cn/jiangsusheng11/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,1.5Mt/yr - Grinding System: 2x (Φ4.2m x11m) Roller Press,,,,,1.5,Mt/yr,,Tel: +86 791 85984986,Fax: +86 791 85704888
CHN,CHN0043,China,Grinding,Jiangxi Jiang Plant,Anhui Conch,"Xinjiang, Nanchang (330116), Jiangxi",Operating,28.833796,115.958428,GCD,Exact,5000072369,Jiangxi Ganjiang Conch Cement Co Ltd,4,,http://english.conch.cn/jiangsusheng0062971511/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,4Mt/yr - Grinding System: 4x (Φ4.2m x13m) Roller Press,,,,,4,Mt/yr,,Tel: +86 791 83205158,Fax: +86 791 83200088
CHN,CHN0044,China,Integrated,Jiande Conch Cement,Anhui Conch Cement,"Lijia, Jiande, Hangzhou, Zhejiang",Operating,29.33424,119.050244,GCD,Exact,5000026070,Jiande Conch Cement Co Ltd,3.6,,http://english.conch.cn/ahwhhl199471/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,2 Dry - 3.12Mt/yr,2,DRY,,,3.12,Mt/yr,,+86-571-64532028,+86-571-64592372
CHN,CHN0045,China,Grinding,Ning Haiqiang Jiao Plant,Anhui Conch,"Ninghai, Ningbo (315612), Zhejiang",Operating,29.48981,121.504058,GCD,Exact,5000035381,Ninghai Qiangjiao Conch Cement Co Ltd,4.4,,http://english.conch.cn/jiangsusheng00621/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,3.2Mt/yr - Grinding System: 2x (Φ4.2m x14.5m); 1x (Φ4.2m x14.5m) Roller Press,,,,,3.2,Mt/yr,,Tel: +86 574 65233896/ 65233933,Fax: +86 574 65199969/ 652339070574
CHN,CHN0046,China,Grinding,Xiangshan Plant,Anhui Conch,"Zhou, Xiangshan (315722), Zhejiang",Operating,29.50057,121.652595,GCD,Exact,5000047889,Xiangshan Conch Cement Co Ltd,4.4,,http://english.conch.cn/jiangsusheng00629715084357831/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,4.4Mt/yr - Grinding System: 4x (Φ4.2m x13m) Roller Press,,,,,4.4,Mt/yr,,Tel: +86 574 65835997,Fax: +86 574 65835333
CHN,CHN0049,China,,,Anhui Conch,,Operating,29.605146,116.124686,http://english.conch.cn/243253/list.aspx,Exact,5000066384,Jiangxi Lushan Conch Cement Co Ltd,2.9,,http://english.conch.cn/243253/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,,,,,,,,,,
CHN,CHN0050,China,Grinding,Huangshan Plant,Anhui Conch,"Guilin, Huangshan (245200), Anhui",Operating,29.907604,118.473234,GCD,Exact,5036205962,Huangshan Conch Cement Co Ltd ,2.2,,http://english.conch.cn/anhui1602995446895198187157540/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,2.2Mt/yr - Grinding System: 2x (Φ4.2mx13m),,,,,2.2,Mt/yr,,Tel: +86 559 6609999,Fax: +86 559 6918888
CHN,CHN0051,China,Grinding,Ningbo Plant,Anhui Conch,"Ningbo (315800), Zhejiang",Operating,29.931804,121.855355,GCD,Exact,5000060564,Ningbo Conch Cement Co Ltd,3.2,2000,http://english.conch.cn/ahcz198471/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,3.6Mt/yr - Grinding System: 4x (Φ4.2m x11m) Ball Mill; RPV120-80 Roller Press,,,,,3.6,Mt/yr,,Tel: +86 574 86883686,Fax: +86 574 86880463
CHN,CHN0052,China,Grinding,Shangyu Plant,Anhui Conch,"Dongguan Street, Shangyu (312352), Zhejiang",Operating,30.010728,120.804755,GCD,Exact,5000063210,Shangyu Conch Cement Co Ltd,1,2003,http://english.conch.cn/jiangsusheng1/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,1.2Mt/yr - Grinding system: 2x (Φ3.8m x13m),,,,,1.2,Mt/yr,,Tel: +86 575 82051132,Fax: +86 575 82052452
CHN,CHN0066,China,Grinding,,Anhui Conch,"2299 Gaoqiao Road, Pu Dong Xin Qu (200137), Shanghai",Operating,31.355912,121.517068,GCD,Exact,5000026093,Shanghai Conch Mingzhu Cement Co Ltd,0.9,1995,http://english.conch.cn/ahcz11/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,0.9Mt/yr,,,,,0.9,Mt/yr,,Tel: +86 21 58640905,Fax: +86 21 58641720
CHN,CHN0067,China,Grinding,Taicang Plant,Anhui Conch,"Huaxing Road, Ludu, Taicang (215412), Jiangsu",Operating,31.479261,121.213155,GCD,Exact,5000037048,Taicang Conch Cement Co Ltd,1.85,,http://english.conch.cn/jiangsusheng0062971508435783/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,1.85Mt/yr - Grinding System: 3x (Φ3.8m x13m) closed circuit,,,,,1.85,Mt/yr,,Tel: +86 512 81606590,Fax: +86 512 81606522
CHN,CHN0069,China,Grinding,Lu’an Plant,Anhui Conch,"Fenlukouzhen, Yu’an, Lu’an, Anhui",Operating,31.748599,116.331386,GCD,Exact,,Lu'an Conch Cement Co Ltd,3.3,2009,http://english.conch.cn/anhui16029/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,3.3Mt/yr - Grinding System: 3x (Φ4.2m) roller press ball mill,,,,,3.3,Mt/yr,,,
CHN,CHN0070,China,Grinding,Ma’anshan Plant,Anhui Conch,"Ma’anshan (243051), Anhui",Operating,31.76786,118.491851,GCD,Exact,5000036725,Maanshan Conch Cement Co Ltd,3.8,2005,http://english.conch.cn/anhui1/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,3.2Mt/yr - Grinding System: 4x (Φ4.2m x14.5m),,,,,3.2,Mt/yr,,Tel: +86 555 3507750,Fax: +86 555 3509008
CHN,CHN0071,China,Grinding,Haimen Plant,Anhui Conch,"Haimen (226100), Jiangsu",Operating,31.78915,121.102005,GCD,Exact,5000076147,Haimen Conch Cement Co Ltd,3.2,2004,http://english.conch.cn/jiangsusheng006297150843578301205454/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,3.4Mt/yr - Grinding System: 4x (Φ4.2m x14.5m),,,,,3.4,Mt/yr,,Tel: +86 513 82901000,Fax: +86 513 82901978
CHN,CHN0073,China,Grinding,Changfeng Plant,Anhui Conch,"Shuangdunzhen, Changfeng, Hefei, Anhui",Operating,32.004975,117.248183,GCD,Exact,5000032731,Anhui Chang Feng Conch Cement Co Ltd,1.8,,http://english.conch.cn/anhui788104068758137312748019046730825620/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,1.8Mt/yr - Grinding System: 2x(Φ3.8m x13m); 2x(Φ3m x9m),,,,,1.8,Mt/yr,,Tel: +86 551 66377740,Fax: +86 551 66377090
CHN,CHN0079,China,,,Anhui Conch,,Operating,32.317452,119.825483,http://english.conch.cn/jiangsusheng006297150843578301205454139509395474/list.aspx,Exact,5000014924,Yangzhou Conch Cement Co Ltd,4.4,2012,http://english.conch.cn/jiangsusheng006297150843578301205454139509395474/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,,,,,,,,,,
CHN,CHN0082,China,Grinding,Huainan Plant,Anhui Conch,"Fengtai (232100), Huainan, Anhui",Operating,32.695577,116.748146,GCD,Exact,5036205954,Huainan Conch Cement Co Ltd,4.4,2011,http://english.conch.cn/anhui160299544/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,4.4Mt/yr - Grinding System: 2x (Φ4.2mx13m) Roller Press,,,,,4.4,Mt/yr,,Tel: +86 554 8916802,Fax: +86 554 8916805
CHN,CHN0083,China,Grinding,Bengbu Plant,Anhui Conch,"80 Longzihu Road, Bengbu, Anhui",Operating,32.923638,117.439757,GCD,Exact,5000067388,Bengbu Conch Cement Co Ltd,2.4,2007,http://english.conch.cn/anhui78810406875813731274801904673082/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,2.4Mt/yr - Grinding System: 4x (Φ3.8mx13m),,,,,2.4,Mt/yr,,Tel: +86 552 3163893,Fax: +86 552 3163891
CHN,CHN0085,China,Grinding,Huai’an Chuzhou Plant,Anhui Conch,"Fanji Zhen Industrial Park, Chuzhou, Huai’an (223215), Jiangsu",Operating,33.417669,119.042408,GCD,Exact,5000053249,Huaian Chuzhou Conch Cement Co Ltd,4.4,,http://english.conch.cn/jiangsusheng00629715084357830120545413950939/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,4.4Mt/yr,,,,,4.4,Mt/yr,,Tel: +86 517 85868010,Fax: +86 517 85868000
CHN,CHN0086,China,Grinding,Huai’an Plant,Anhui Conch,"Yue Wang Yingzhen River, Huaiyin, Huai’an (223300), Jiangsu",Operating,33.596743,118.966544,GCD,Exact,5000036724,Huaian Conch Cement Co Ltd,1.65,2004,http://english.conch.cn/jiangsusheng00629715084357830120/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,1.65Mt/yr - Grinding System: 3x (Φ3.8m x13m),,,,,1.65,Mt/yr,,Tel: +86 517 84956610,Fax: +86 517 84955288
CHN,CHN0096,China,Integrated,Jining Conch Cement,Anhui Conch Cement,"Miaoguan, Sishui, Jining, Shandong",Operating,35.614648,117.442907,GCD,Exact,5036205958,Jining Conch Cement Co Ltd,2.2,2010,http://english.conch.cn/ahwhhl199471111/list.aspx,2/11/2020,4295864310,Anhui Conch Cement Co Ltd,1 Dry - 1.56Mt/yr,1,DRY,,,1.56,Mt/yr,,+86-537-4368202,+86-537-4368200
CHN,CHN0098,China,Grinding,Nanchan Yandong Slag Plant,Nanchang Yadong Cement,,Operating,28.618066,115.964109,GCD,Exact,,Nanchang Ya Dong Cement Co Ltd,0.65,,http://www.achc.com.cn/en/About/Subsidiary_Detail.aspx?ID=32,2/12/2020,4295891026,Asia Cement Corp,1.2Mt/yr,,,,,1.2,Mt/yr,,,
CHN,CHN0099,China,Integrated,Jiangxi Yatung Cement,Asia Cement China Holdings Corporation,"No.6 Yatung Road, Matou, Ruichang, Jiangxi",Operating,29.810669,115.580052,GCD,Exact,5035904422,Jiangxi Ya Dong Cement Corp Ltd,14,2000,http://www.achc.com.cn/en/About/Subsidiary_Detail.aspx?ID=24,2/12/2020,4295891026,Asia Cement Corp,4 Dry - 8Mt/yr,4,DRY,,,8,Mt/yr,,+86-792-4888999,+86-792-4888200
