,iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_online_modernisation,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax
2399,JPN,JPN0025,Japan,Integrated,Nanyo Plant,Tokuyama,"Shunan city, Yamaguchi Pref.",Operating,34.056997,131.785153,GCD,Exact,,,,,,,,,3 Dry - 4.7Mt/yr,3.0,DRY,,,4.7,Mt/yr,,Tel:  +81 834 34 2000,Fax:  +81 834 33 3790
2400,JPN,JPN0025,Japan,Integrated,Nanyo Plant,Tosoh,"Shunan city, Yamaguchi Pref.",Operating,34.057688,131.760782,GCD,Exact,,,,,,,,,1 Dry - 1.1Mt/yr,1.0,DRY,,,1.1,Mt/yr,,Tel:  +81 834 63 9644,Fax:  +81 834 62 9898
2506,LAO,LAO0003,Lao People's Democratic Republic,Integrated,Vang Vieng Plant III,Lao Cement,"Vangvieng, Vientiane",Operating,18.873072,102.488023,GCD,Exact,,,,,,,,,2 Dry - 1.1Mt/yr,2.0,DRY,,,1.1,Mt/yr,Vanhthong Sithikoun,Tel: +856 2121 3518,Fax: +856 2121 3503
2507,LAO,LAO0003,Lao People's Democratic Republic,Integrated,Vang Vieng Plant II,Lao Cement,"Vangvieng, Vientiane",Operating,18.881931,102.48007,GCD,Exact,,,,,,,,,0.3Mt/yr,,,,,0.3,Mt/yr,,,
2511,LAO,LAO0007,Lao People's Democratic Republic,Integrated,Luang Prabang II,Luang Prabang Cement,Luang Prabang,Operating,20.486883,102.37123,GCD,Exact,,,,,,,,,0.2Mt/yr,,,,,0.2,Mt/yr,,,
2512,LAO,LAO0007,Lao People's Democratic Republic,Integrated,Luang Prabang I,Luang Prabang Cement,Luang Prabang,Operating,20.487213,102.373262,GCD,Exact,,,,,,,,,0.1Mt/yr,,,,,0.1,Mt/yr,,,
2515,LAO,LAO0011,Lao People's Democratic Republic,Integrated,Wanrong Cement I,Wanrong Cement,"Vangvieng, Vientane",Operating,17.9640988,102.6133707,GCD,Approximate,,,,,,,,,0.1Mt/yr,,,,,0.1,Mt/yr,,,
2516,LAO,LAO0011,Lao People's Democratic Republic,Integrated,Wanrong Cement II,Wanrong Cement,"Vangvieng, Vientane",Operating,17.9640988,102.6133707,GCD,Approximate,,,,,,,,,0.2Mt/yr,,,,,0.2,Mt/yr,,,
3143,TUR,TUR0005,Turkey,Grinding,Antalya Plant,Adoçim Çimento Beton (50% Titan),"Kepez, Antalya",Operating,36.897873,30.610509,GCD,Exact,4298029076.0,Adocim Cimento Beton Sanayi ve Ticaret AS,,,https://www.adocim.com/iletisim.aspx,2020-08-07,5066579091.0,Titan Cement International SA,0.6Mt/yr,,,,,0.6,Mt/yr,,Tel: +90 242 227 4990,Fax: +90 242 227 4991
3144,TUR,TUR0005,Turkey,Integrated,"Anka plant, Ankara",Limak Çimento,,Operating,39.929475,32.756024,GCD,Exact,5000865391.0,Limak Cimento Sanayi ve Ticaret AS,,2018.0,http://www.limak.com.tr/sectors/cement/factories/limak-anka-cement,2020-02-06,4298442379.0,Limak Holding AS,2 Dry - 1.4Mt/yr,2.0,DRY,,,1.4,Mt/yr,Adan Ydnebekcyly,Tel: +90 312 211 0130,Fax: +90 312 211 0560
3200,TUR,TUR0063,Turkey,Integrated,Elazig Plant,"Recydia Atik Yon. Yeni Enerji Uretim (formerly Çimentaş Elazığ Altınova, Cementir Holding)",Elazig,Operating,38.663862,39.235352,GCD,Exact,4295893582.0,Cimentas Izmir Cimento Fabrikasi TAS,,,http://www.cimentas.com.tr/en/plant-detail.aspx?t=1008,2020-02-16,5071500150.0,Cementir Holding NV,1.0Mt/yr,,,,,1.0,Mt/yr,Reha Okcu,Tel: +90 424 224 3921,Fax: +90 424 224 1670
3201,TUR,TUR0063,Turkey,Integrated,Elazig Plant,SEZA Çimento (SYCS),Elazig,Operating,38.454928,38.727917,GCD,Exact,,,,,,,,,1Mt/yr (Est.),,,,,1.0,Mt/yr,,,
3475,VNM,VNM0057,Vietnam,Integrated,,Tan Quang Cement Joint Stock Company,"Trang Da, Tuyen Quang",Operating,22.1256755,105.2089725,GCD,Approximate,,,,,,,,,0.8Mt/yr,,,,,0.8,Mt/yr,,Tel: +84 273 881 268,
3476,VNM,VNM0057,Vietnam,Integrated,,Tuyên Quang Cement (Vinacomin),"Trang Da, Tuyên Quang",Operating,22.1256755,105.2089725,GCD,Approximate,,,,,,,,,1.7Mt/yr,,,,,1.7,Mt/yr,,,
3493,VNM,VNM0075,Vietnam,Integrated,Dong Banh Cement,Vissai Group,"Dong Banh, Lang Son",Operating,21.566872,106.492178,GCD,Exact,5035416818.0,Dong Banh Cement JSC,1.0,,https://vissaigroup.vn/en/cement/,2020-02-21,5038914451.0,Hoang Phat Vissai Group Co Ltd,1.0Mt/yr,,,,,1.0,Mt/yr,,Tel: +84 253 870 195,Fax: +84 253 872 957
3494,VNM,VNM0075,Vietnam,Integrated,,Lang Son Joint Stock Company,"Dong Kinh, Lang Son",Operating,21.845809,106.763199,GCD,Approximate,,,,,,,,,1Mt/yr (Est.),,,,,1.0,Mt/yr,,Tel: +84 253 870 195,Fax: +84 253 872 957
