iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_online_modernisation,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax
CHN,CHN0001,China,Integrated,,Aalborg Portland A/S,"Guanbing, Yangqiao, Anqing, Anhui",Operating,30.65,117.08333300000001,GCD,Approximate,,,,,,,,,2 Dry - 0.7Mt/yr (White),2.0,DRY,,,0.7,Mt/yr,,+86-556-5368180,+86-556-5367317
CHN,CHN0002,China,Grinding,Angang Group Plant,Angang Group Slag Development,"Anshan, Liaoning",Operating,40.78195365,122.78923300000001,GCD,Approximate,,,,,,,,,Polysius RMS 51/26,,,,,,,,,
CHN,CHN0022,China,Grinding,Nanjing Plant,Anhui Conch,"Pukou, Nanjing (210031), Jiangsu",Operating,32.0646625,118.6267634,GCD,Approximate,,,,,,,,,1.2Mt/yr - Grinding Systems: 2x (Φ3.8m x13m); 1x (Φ3m x9m),,,,,1.2,Mt/yr,,Tel: +86 25 58602648,Fax: +86 25 58601184
CHN,CHN0029,China,Grinding,Wenzhou Plant,Anhui Conch,"Yongjia, Wenzhou (325103), Zhejiang",Operating,28.156278000000004,120.68792040000001,GCD,Approximate,,,,,,,,,1.5Mt/yr - Grinding System: 2x (Φ4.2m x11m),,,,,1.5,Mt/yr,,Tel: +86 577 67395903,Fax: +86 577 67397926
CHN,CHN0049,China,Integrated,,Anhui Conch Cement,"No.209 Beijing East Road, Wuhu, Anhui",Operating,31.3536127,118.42763500000001,GCD,Approximate,,,,,,,,,36 Dry - 70Mt/yr,36.0,DRY,,,70.0,Mt/yr,Guo Wensan,Tel: +0553-3118688,Fax: +0553-3116696
CHN,CHN0065,China,Integrated,,Anhui Fengyang Yihuai Cement Plant,"Xiquan, Fengyangy, Chuzhou, Anhui",Operating,32.2545901,118.3280486,GCD,Approximate,,,,,,,,,1 Dry - 0.37Mt/yr,1.0,DRY,,,0.37,Mt/yr,,+86-550-6152111,+86-550-6151482
CHN,CHN0066,China,Integrated,,Anhui Guangde Zhongguangyuan Cement,"Hongshan, Xinhang, Guangde, Xuancheng, Anhui",Operating,30.8791923,119.4154142,GCD,Approximate,,,,,,,,,2 Dry - 3.12Mt/yr,2.0,DRY,,,3.12,Mt/yr,,+86-563-6853680,+86-563-6853680
CHN,CHN0069,China,Integrated,,Anshan Shuangling Cement,"Qilingzi, Qianshan, Anshan, Liaoning",Operating,40.9897509,122.91647409999901,GCD,Approximate,,,,,,,,,1 Dry - 0.31Mt/yr,1.0,DRY,,,0.31,Mt/yr,,+86-412-5422325,+86-412-5420282
CHN,CHN0070,China,Integrated,,Anyang Fenjiang Cement,"Jiangcun, Anyang, Anyang, Henan",Operating,36.10235520000001,114.33633,GCD,Approximate,,,,,,,,,1 Dry - 0.62Mt/yr,1.0,DRY,,,0.62,Mt/yr,,+86-372--5828692,+86-372--5828691
CHN,CHN0071,China,Integrated,,Anyang Hubo Cement,"Anshui Road, Qugou, Anyang, Anyang, Henan",Operating,36.10557215,114.166702,GCD,Approximate,,,,,,,,,2 Dry - 1.09Mt/yr,2.0,DRY,,,1.09,Mt/yr,,+86-372--5689961,+86-372--5661101
CHN,CHN0084,China,Integrated,Cement,BBMG Corporation,"No.138 Zhendong, Xinglong, Bayan, Harbin, Heilungkiang",Operating,46.289783,127.484305,GCD,Approximate,,,,,,,,,1 Dry - 0.31Mt/yr,1.0,DRY,,,0.31,Mt/yr,,Harbin Taihang Xinglong +86-451-57535722,+86-451-57535722
CHN,CHN0094,China,Integrated,Cement,Bafang Holding Group,"No.27 Qianxi Road, Zhuji, Shaoxing, Zhejiang",Operating,29.7157268,120.2315762,GCD,Approximate,,,,,,,,,2 Dry - 0.94Mt/yr,2.0,DRY,,,0.94,Mt/yr,,Zhejiang Zhuji Bafang +86-575-7197836,+86-575-7197834
CHN,CHN0095,China,Integrated,,Batang Foguang Building Materials,"Dujiaolong, Xiaqiong, Batang, Ganzi, Sichuan",Operating,30.0066186999999,99.1084854,GCD,Approximate,,,,,,,,,2 Shaft - 0.22Mt/yr,,,,,0.22,Mt/yr,,+86-836-5621578,+86-836-5621578
CHN,CHN0096,China,Integrated,,Beiliu Huwei Cement,"Dafengmen Beiliu, Yulin, Guangxi",Operating,22.6354096999999,110.1498186,GCD,Approximate,,,,,,,,,4 Shaft - 0.54Mt/yr,,,,,0.54,Mt/yr,,+86-775-6222508,+86-775-6290665
CHN,CHN0097,China,Integrated,No.6 Nanchang,Bolan Cement,"Road, Bole, Xinjiang",Operating,44.863969,82.08300200000001,GCD,Approximate,,,,,,,,,1 Dry - 0.78Mt/yr,1.0,DRY,,,0.78,Mt/yr,,+86-990-2325065,+86-990-2325595
CHN,CHN0098,China,Integrated,Materials,British Cayman Energy Development,"Changhong, Wangjiangjing, Xiuzhou, Jiaxing, Zhejiang",Operating,30.7668310999999,120.704931,GCD,Approximate,,,,,,,,,1 Dry - 1Mt/yr,1.0,DRY,,,1.0,Mt/yr,,Jiaxing Jinjiang Building +86-573-83726389,+86-573-83726389
CHN,CHN0101,China,Integrated,,Changzhou Yafeng Cement,"Shangpei, Liyang, Changzhou, Jiangsu",Operating,31.4739035,119.2178878,GCD,Approximate,,,,,,,,,1 Dry - 0.37Mt/yr,1.0,DRY,,,0.37,Mt/yr,,+86-519-87659998,+86-519-87653988
CHN,CHN0104,China,Integrated,,Chaoyang Lanling Cement,"Changbaoyingzi, Changbaoyingzi, Longcheng, Chaoyang, Liaoning",Operating,41.6159209,120.348902,GCD,Approximate,,,,,,,,,1 Dry - 0.47Mt/yr,1.0,DRY,,,0.47,Mt/yr,,+86-421-2100288,+86-421-2100952
CHN,CHN0105,China,Integrated,,Chengde Hongji Cement,"Laoyemiao, Yingshouyingzi, Chengde, Hebei",Operating,40.5316848,117.7013071,GCD,Approximate,,,,,,,,,1 Dry - 0.40Mt/yr,1.0,DRY,,,0.4,Mt/yr,,+86-314-5011822,+86-314-5011950
CHN,CHN0107,China,Integrated,,Chengdu Wanshi Cement,"Shou’an, Wenjiang, Chengdu, Sichuan",Operating,30.74511755,103.8054537,GCD,Approximate,,,,,,,,,4 Shaft  - 0.50Mt/yr,,,,,0.5,Mt/yr,,+86-28-82658144,+86-28-82658211
CHN,CHN0108,China,Integrated,,Chenggu Fusheng Building Materials,"Wenguang, Wenchuan, Chenggu, Hanzhong, Shaanxi",Operating,33.1551002,107.29686170000001,GCD,Approximate,,,,,,,,,1 Shaft - 0.10Mt/yr,,,,,0.1,Mt/yr,,+86-916-7341335,+86-916-7341335
CHN,CHN0109,China,Integrated,,Chengjiang Xipu Cement,"Longjie, Chengjiang, Yuxi, Yunnan",Operating,24.6781617,102.9026707,GCD,Approximate,,,,,,,,,1 Shaft - 0.08Mt/yr,,,,,0.08,Mt/yr,,+86-877-6767028,+86-877-6767028
CHN,CHN0110,China,Integrated,Jiangsu Union Cement,Chia Hsin Cement,"Weigang Jiangqiao, Runzhou, Zhenjiang, Jiangsu",Operating,32.19905565,119.397423,GCD,Approximate,,,,,,,,,1 Dry - 1.56Mt/yr,1.0,DRY,,,1.56,Mt/yr,,+86-511-5826663,+86-511-5826622
CHN,CHN0111,China,Integrated,,Chia Hsin Jingyang Cement,"Xiashu, Jurong, Zhenjiang, Jiangsu",Operating,32.1712194,119.18537979999901,GCD,Approximate,,,,,,,,,1 Dry - 0.78Mt/yr,1.0,DRY,,,0.78,Mt/yr,,+86-776-2222132,+86-776-2222132
CHN,CHN0112,China,Integrated,,Chibi Zhongnan Cement,"No.45 Yanhe Road, Chibi, Xianning, Hubei",Operating,29.726898100000003,113.88615109999901,GCD,Approximate,,,,,,,,,1 Dry - 0.31Mt/yr,1.0,DRY,,,0.31,Mt/yr,,+86-715-5262897,+86-715-5262897
CHN,CHN0115,China,Integrated,,China Gezhouba Group,"Pingyi Xiakou, Xingshan, Yichang, Hubei",Operating,31.3517637,110.7406409,GCD,Approximate,,,,,,,,,1 Dry - 0.78Mt/yr,1.0,DRY,,,0.78,Mt/yr,,+86-717-2516869,+86-717-2516869
CHN,CHN0116,China,Integrated,,China Gezhouba Group,"Sanqiao, Dangyang, Yichang, Hubei",Operating,30.8288756999999,111.79699840000002,GCD,Approximate,,,,,,,,,2 Dry - 1.93Mt/yr,2.0,DRY,,,1.93,Mt/yr,,+86-717-3320024,+86-717-3320015
CHN,CHN0118,China,Integrated,,China Gezhouba Group,"Yuanchong, Laohekou, Hubei",Operating,32.526617,111.733956,GCD,Approximate,,,,,,,,,1 Dry - 1.5Mt/yr,1.0,DRY,,,1.5,Mt/yr,,+86-710-8513968,+86-710-8513968
CHN,CHN0119,China,Integrated,,China Great Wall Aluminium Corporation,"No.54 New Anxi Road, Shangjie, Zhengzhou, Henan",Operating,34.77923005,113.2779469,GCD,Approximate,,,,,,,,,5 Wet and Dry - 1.20Mt/yr,5.0,WET,,,1.2,Mt/yr,,+86-371-68136188,+86-371-68922507
CHN,CHN0120,China,Integrated,Huanghe Cement,China National Building Materials,"18 Floor, Commercial Bank, Kaiyuan Road, New District, Luoyang, Henan",Operating,34.617661,112.45244,GCD,Approximate,,,,,,,,,1 Dry - 1.4Mt/yr,1.0,DRY,,,1.4,Mt/yr,,Luoyang China United +86-379-65920378,+86-379-65920378
CHN,CHN0123,China,Integrated,Nanhu South Cement,China National Building Materials,"Boshan, Qixing, Xiucheng, Jiaxing, Zhejiang",Operating,30.763344099999898,120.74716370000002,GCD,Approximate,,,,,,,,,2 Dry - 1.56Mt/yr,2.0,DRY,,,1.56,Mt/yr,,+86-573-83888105,+86-573-83888105
CHN,CHN0125,China,Integrated,SouthWannianqing Cement,China National Building Materials,"Buqian, Luoao, Yudu, Ganzhou, Jiangxi",Operating,25.934729,115.292948,GCD,Approximate,,,,,,,,,2 Dry - 1.15Mt/yr,2.0,DRY,,,1.15,Mt/yr,,Jiangxi Ganzhou +86-797-6249698,+86-797-6249698
CHN,CHN0131,China,Integrated,Zhejiang Hushan Cement Group,China National Building Materials,"Shangpu, Jiangshan, Quzhou, Zhejiang",Operating,28.740347600000003,118.6221665,GCD,Approximate,,,,,,,,,2 Dry - 2.34Mt/yr,2.0,DRY,,,2.34,Mt/yr,,+86-570-4211012,+86-570-4211010
CHN,CHN0144,China,Integrated,Zhejiang Changshan Cement,China National Building Materials,"Huibu New Area, Changshan, Quzhou, Zhejiang",Operating,28.935629,118.499975,GCD,Approximate,,,,,,,,,6 Dry - 22.34Mt/yr,6.0,DRY,,,22.34,Mt/yr,,+86-571-64524833,+86-571-64524833
CHN,CHN0145,China,Integrated,Zhejiang Tianma Cement,China National Building Materials,"Huibu New Area, Changshan, Quzhou, Zhejiang",Operating,28.905778,118.50633049999901,GCD,Approximate,,,,,,,,,2 Dry - 1.25Mt/yr,2.0,DRY,,,1.25,Mt/yr,,+86-570-5131198,+86-570-5131198
CHN,CHN0159,China,Integrated,North Cement,China National Building Materials,"No.1248 Chang’an Road, Kiamusze, Heilungkiang",Operating,46.798913,130.315703,GCD,Approximate,,,,,,,,,2 Dry - 1.09Mt/yr,2.0,DRY,,,1.09,Mt/yr,,Heilungkiang Kiamusze +86-454-8289166,+86-454-8289166
CHN,CHN0161,China,Integrated,Cement,China National Building Materials,"No.2 Huating Road, Chengguan, Fangcheng, Nanyang, Henan",Operating,33.3415698999999,113.0271185,GCD,Approximate,,,,,,,,,1 Dry - 0.62Mt/yr,1.0,DRY,,,0.62,Mt/yr,,Henan Fangcheng Wanbei +86-377-67233782,+86-377-67235352
CHN,CHN0162,China,Integrated,South Cement,China National Building Materials,"No.25 Baitang, Pingtang, Wangcheng, Changsha, Hunan",Operating,28.100864626480604,112.917310997143,GCD,Approximate,,,,,,,,,2 Dry - 1.56Mt/yr,2.0,DRY,,,1.56,Mt/yr,,Hunan Changsh Pingtang +86-731-88500272,+86-731-88542333
CHN,CHN0165,China,Integrated,Jiangxi Anfu South Cement,China National Building Materials,"Pengjia, Anfu, Ji’an, Jiangxi",Operating,27.398001,114.61032800000001,GCD,Approximate,,,,,,,,,1 Dry - 0.47Mt/yr,1.0,DRY,,,0.47,Mt/yr,,+86-796-7664271,+86-796-7664271
CHN,CHN0168,China,Integrated,Zhejiang Tongxing Cement,China National Building Materials,"Puyuan, Tongxiang, Zhejiang",Operating,30.6316971,120.5610365,GCD,Approximate,,,,,,,,,2 Dry - 1.09Mt/yr,2.0,DRY,,,1.09,Mt/yr,,+86-573-88777215,+86-573-88777172
CHN,CHN0170,China,Integrated,Deqing Xinshi South Cement,China National Building Materials,"Shao, Xinshi, Deqing, Huzhou, Zhejiang",Operating,30.616016,120.27774,GCD,Approximate,,,,,,,,,1 Dry - 0.47Mt/yr,1.0,DRY,,,0.47,Mt/yr,,+86-572-8200200,+86-572-8200200
CHN,CHN0180,China,Integrated,Fuyang Sanshi Cement,China National Building Materials,"Xindian, Xintong, Fuyang, Hangzhou, Zhejiang",Operating,30.0516179,119.955706599999,GCD,Approximate,,,,,,,,,1 Dry - 1.56Mt/yr,1.0,DRY,,,1.56,Mt/yr,,+86-571-63376530,+86-571-63376530
CHN,CHN0183,China,Integrated,"Guiyang South Jinlei Cement Yanshan Building Materials,",China National Building Materials,"Guiyang County Industrial Park, Chenzhou, Hunan",Operating,25.8321859,112.6031179,GCD,Approximate,,,,,,,,,2 Dry - 2.03Mt/yr,2.0,DRY,,,2.03,Mt/yr,,+86-735-3480167,+86-735-3480167
CHN,CHN0186,China,Integrated,Cement,China National Building Materials,"Yongxi, Beishan, Longhui, Shaoyang, Hunan",Operating,27.082248,111.08810600000001,GCD,Approximate,,,,,,,,,1 Dry - 1.56Mt/yr,1.0,DRY,,,1.56,Mt/yr,,Hunan Longhui South +86-739-8362023,+86-739-8362023
CHN,CHN0187,China,Integrated,Cement,China National Building Materials,"Yuanqiao, Yicheng, Yixing, Wuxi, Jiangsu",Operating,31.3495972,119.81725300000001,GCD,Approximate,,,,,,,,,1 Dry - 0.78Mt/yr,1.0,DRY,,,0.78,Mt/yr,,Jiangsu Yicheng South +86-510-87128122,+86-510-87128122
CHN,CHN0189,China,Integrated,China Resources Cement (Guipeng),China Resources Cement,"Xishan Road, Guiping, Guigang, Guangxi",Operating,23.3903914,110.0716322,GCD,Approximate,,,,,,,,,2 Dry - 2.81Mt/yr,2.0,DRY,,,2.81,Mt/yr,,+86-775-3699881,+86-775-3699881
CHN,CHN0200,China,Integrated,,China Resources Cement,"Houya, Zhangmao, Shan, Guigang, Guangxi",Operating,23.2726,109.664,GCD,Approximate,,,,,,,,,2 Dry - 3.12Mt/yr,2.0,DRY,,,3.12,Mt/yr,,+86-775-4855566,+86-775-4855566
CHN,CHN0206,China,Integrated,,China Resources Cement,"No.11 Guangchang West Road, Yulin, Guangxi",Operating,22.6354096999999,110.1498186,GCD,Approximate,,,,,,,,,1 Dry - 1.4Mt/yr,1.0,DRY,,,1.4,Mt/yr,,+86-775-5700700,+86-775-5700700
CHN,CHN0217,China,Integrated,,Chongqing Juli Cement,"Yanjing, Bishan, Chongqing",Operating,29.594878899999898,106.2246064,GCD,Approximate,,,,,,,,,1 Dry - 0.78Mt/yr,1.0,DRY,,,0.78,Mt/yr,,+86-23-41620000,+86-23-41621111
CHN,CHN0218,China,Integrated,Jiangxi Guixi Xinshiji Cement,Chongqing Kehua Holding Group,"Luohe Industrial Park, Guixi, Yingtan, Jiangxi",Operating,28.2846931999999,117.2023952,GCD,Approximate,,,,,,,,,2 Dry - 1.09Mt/yr,2.0,DRY,,,1.09,Mt/yr,,+86-701-3332015,+86-701-3332015
CHN,CHN0227,China,Integrated,,Chongyang Hui’an Cement,"Tiancheng, Chongyang, Xianning, Hubei",Operating,29.5521496999999,114.04202120000001,GCD,Approximate,,,,,,,,,1 Dry - 0.31Mt/yr,1.0,DRY,,,0.31,Mt/yr,,+86-715-3395320,+86-715-3392299
CHN,CHN0232,China,Integrated,,Dalian Xinhu Cement Enterprise Group,"Laohutun, Wafangdian, Dalian, Liaoning",Operating,39.6690713,121.77373329999901,GCD,Approximate,,,,,,,,,1 Dry - 0.37Mt/yr,1.0,DRY,,,0.37,Mt/yr,,+86-411-85370216,+86-411-85372401
CHN,CHN0234,China,Integrated,,Dandong Saima Cement,"Changshan, Saima, Fengcheng, Dandong, Liaoning",Operating,40.4542503,124.0651436,GCD,Approximate,,,,,,,,,1 Dry - 0.78Mt/yr,1.0,DRY,,,0.78,Mt/yr,,+86-415-8365555,+86-415-8365555
CHN,CHN0235,China,Integrated,,Danzhou Baoqiang Industrial,"Zhongxing Road, Danzhou, Hainan",Operating,19.5694809,109.85418999999901,GCD,Approximate,,,,,,,,,2 Shaft - 0.15Mt/yr,,,,,0.15,Mt/yr,,+86-898-23862680,+86-898-23862399
CHN,CHN0236,China,Integrated,,Dayian Xianming Xialing Cement,"Guanghua, Jinyuan, Dayi, Chengdu, Sichuan",Operating,30.5901965,103.5212874,GCD,Approximate,,,,,,,,,1 Dry - 0.78Mt/yr,1.0,DRY,,,0.78,Mt/yr,,+86-28-88202666,+86-28-88202178
CHN,CHN0237,China,Integrated,,Dazhou Fuyuan Cement,"Tianjiaba, Shitang, Wanyuan, Dazhou, Sichuan",Operating,31.8924864,108.11651440000001,GCD,Approximate,,,,,,,,,2 Shaft - 0.20Mt/yr,,,,,0.2,Mt/yr,,+86-818-8930130,+86-818-8930130
CHN,CHN0240,China,Integrated,,Dushan Cement,"Guicheng, Gangbei, Guigang, Guangxi",Operating,23.0799178,109.5375206,GCD,Approximate,,,,,,,,,1 Dry - 0.47Mt/yr,1.0,DRY,,,0.47,Mt/yr,,+86-775-4263667,+86-775-4263689
CHN,CHN0241,China,Integrated,,Enshi Tenglong Cement,"Tianqiao, Bajiao, Enshi, Hubei",Operating,30.25344265,109.5736861,GCD,Approximate,,,,,,,,,1 Dry - 0.87Mt/yr,1.0,DRY,,,0.87,Mt/yr,,+86-573-88451112,+86-573-88451112
CHN,CHN0242,China,Integrated,,Eshan Hongfeng Building Materials,"Xiaojie, Eshan, Yuxi, Yunnan",Operating,24.1581,102.461203,GCD,Approximate,,,,,,,,,1 Shaft - 0.08Mt/yr,,,,,0.08,Mt/yr,,+86-877-4066178,+86-877-4066178
CHN,CHN0244,China,Integrated,,Fenggang Guifeng Cemeng,"Longjing, Longquan, Fenggang, Zunyi, Guizhou",Operating,27.969397700000002,107.7205327,GCD,Approximate,,,,,,,,,2 Shaft - 0.15Mt/yr,,,,,0.15,Mt/yr,,+86-852-5221157,+86-852-5221157
CHN,CHN0245,China,Integrated,,Fengxian Sanlian Building Materials,"Qiliping, Fengxian, Baoji, Shaanxi",Operating,33.90638,106.50083000000001,GCD,Approximate,,,,,,,,,1 Shaft - 0.09Mt/yr,,,,,0.09,Mt/yr,,+86-917-4712094,+86-917-4712094
CHN,CHN0246,China,Integrated,,Fengxiang Yongdong Cement,"Xicun Miganqiao, Fengxiang, Baoji, Shaanxi",Operating,34.5215207,107.3962875,GCD,Approximate,,,,,,,,,1 Shaft - 0.10Mt/yr,,,,,0.1,Mt/yr,,+86-917-7749274,+86-917-7749302
CHN,CHN0247,China,Integrated,,Fufeng Qinwei Cement,"Tiandu Street, Tiandu, Fufeng, Baoji, Shaanxi",Operating,34.3712842,107.8841095,GCD,Approximate,,,,,,,,,2 Shaft - 0.18Mt/yr,,,,,0.18,Mt/yr,,+86-917-5354410,+86-917-5354410
CHN,CHN0248,China,Integrated,,Fuhai Sanhai Cement,"Jianbei Road Industrial Park, Fuhai, Aletai, Xinjiang",Operating,46.5988551,87.68920772,GCD,Approximate,,,,,,,,,1 Shaft - 0.05Mt/yr,,,,,0.05,Mt/yr,,+86-996-3756101,+86-996-3756074
CHN,CHN0249,China,Integrated,,Fujian Anxi Sanyuanyan Cement,"Sanyuan, Jingu, Anxi, Quanzhou, Fujian",Operating,25.1742736,118.11610060000001,GCD,Approximate,,,,,,,,,1 Dry - 0.31Mt/yr,1.0,DRY,,,0.31,Mt/yr,,+86-595-23366009,+86-595-23366003
CHN,CHN0256,China,Integrated,,Fujian Longyan Hefeng Cement,"No.48 Nanhuan East Road, Longyan, Fujian",Operating,25.1027052,117.0283341,GCD,Approximate,,,,,,,,,1 Dry - 0.47Mt/yr,1.0,DRY,,,0.47,Mt/yr,,+86-597-2335305,+86-597-2335305
CHN,CHN0257,China,Integrated,,Fumin Jintui Cement Building Materials,"Shaguo, Daying, Fumin, Kunming, Yunnan",Operating,25.2220812,102.49767790000001,GCD,Approximate,,,,,,,,,2 Dry - 1Mt/yr,2.0,DRY,,,1.0,Mt/yr,,+86-871-8830185,+86-871-8830120
CHN,CHN0259,China,Integrated,,Fuyuan Cement,"No.155 Mafangchong, Zhong’an, Fuyuan, Qujing, Yunnan",Operating,25.599069,104.224435,GCD,Approximate,,,,,,,,,1 Shaft - 0.10Mt/yr,,,,,0.1,Mt/yr,,+86-873-4630673,+86-873-4630673
CHN,CHN0260,China,Integrated,,Ganfeng Cement,"Shangtang, Fengcheng, Jiangxi",Operating,28.1959598,115.78469750000001,GCD,Approximate,,,,,,,,,1 Dry - 0.78Mt/yr,1.0,DRY,,,0.78,Mt/yr,,+86-795-6295112,+86-795-6688554
CHN,CHN0261,China,Integrated,,Gansu Gulang Cement,"Shibalipo, Gulang, Wuwei, Gansu",Operating,37.52640415,103.271895,GCD,Approximate,,,,,,,,,1 Shaft - 0.10Mt/yr,,,,,0.1,Mt/yr,,+86-935-5263056,+86-935-5263812
CHN,CHN0262,China,Integrated,,Gansu Jiuquan Qifeng Building Materials Chemical,"Jiayuguan, Jiuquan, Gansu",Operating,39.7321262,98.4936839,GCD,Approximate,,,,,,,,,4 Shaft - 0.25Mt/yr,,,,,0.25,Mt/yr,,+86-937-6263826,+86-937-6263826
CHN,CHN0263,China,Integrated,,Gansu Liuxing Cement,"Luyang, Jingtai, Baiyin, Gansu",Operating,37.1399562999999,104.1540578,GCD,Approximate,,,,,,,,,4 Shaft - 0.20Mt/yr,,,,,0.2,Mt/yr,,+86-943-5552344,+86-943-5552644
CHN,CHN0264,China,Integrated,,Gansu Nongken Yinma Cement,"Guanzhuang, Yumen, Jiuquan, Gansu",Operating,40.2916528,97.0448526,GCD,Approximate,,,,,,,,,2 Shaft - 0.15Mt/yr,,,,,0.15,Mt/yr,,+86-937-3333166,+86-937-3333196
CHN,CHN0265,China,Integrated,Yongdeng Cement,Gansu Qilianshan Shanhui Group (Sinoma),"Zhongpu, Yongdeng, Lanzhou, Gansu",Operating,36.7331602,103.26155390000001,GCD,Approximate,,,,,,,,,2 Dry - 1.56Mt/yr,2.0,DRY,,,1.56,Mt/yr,,+86-931-6476016,+86-931-6476016
