iso3,uid,country,plant_type,gcd_plant_name,gcd_company_name,gcd_location,status,latitude,longitude,source,accuracy,permid,company_name,reported_capacity,reported_online_modernisation,owner_source,date_accessed,parent_permid,parent_name,desc,num_kilns_1,kiln_type_1,num_kilns_2,kiln_type_2,capacity,capacity_unit,contact,tel,fax
COL,COL0007,Colombia,Integrated,"Monjtebello, Antioquia Plant",Cementos El Cairo (Cementos Argos),Medellin,Operating,6.2180499000000005,-76.6526787,GCD,Approximate,,,,,,,,,4 Wet - 0.4Mt/yr,4.0,WET,,,0.4,Mt/yr,Mr Rojas,Tel: +57 4257 6911,Fax: +57 4251 2802
COL,COL0008,Colombia,Integrated,"Neira, Caldas Plant",Cementos de Caldas,"Los llanos, Manizales",Operating,5.1611902999999915,-75.4878259,GCD,Approximate,,,,,,,,,2 Dry - 0.25Mt/yr,2.0,Dry,,,0.25,Mt/yr,,+57 68 841 955,+57 68 841 018
COL,COL0031,Colombia,Integrated,,Empresa Colombiana de Cementos ‘EcoCementos’ (Cementos Molins and Grupo Corona),"Rio Claro, Sonsón, Antioquia",Operating,5.717201,-75.295551,GCD,Approximate,,,,,,,,,"1 Dry - 1.35Mt/yr (FLS turnkey project, with Spanish contractor OHL) Commissioned October 2019",1.0,DRY,,,1.35,Mt/yr,Juan Martinez,,
COD,COD0006,"Congo, the Democratic Republic of the",Integrated,,Nyumba Ya Akiba Cement (50% Lucky Cement / 50% Groupe Rawji),"Songololo, Bas Congo",Operating,-5.39825,13.98304236,GCD,Approximate,,,,,,,,,Nyumba Plant (commissioned late 2016) 1 Dry - 1.2Mt/yr,1.0,DRY,,,1.2,Mt/yr,,,
COD,COD0008,"Congo, the Democratic Republic of the",Grinding,"Goma Plant, North Kivu",Nyiragongo Cement,,Operating,-1.658598,29.220211,GCD,Approximate,,,,,,,,,Commissionsed April 2014 0.0175Mt/yr,,,,,0.0175,Mt/yr,,,
CRI,CRI0004,Costa Rica,Grinding,,Cementos Fortaleza/ PlyCem,"Salinas Esparza, Puntarenas Gebr.",Operating,9.990865,-84.667525,GCD,Approximate,,,,,,,,,0.3Mt/y,,,,,0.3,Mt/yr,,,
CIV,CIV0002,Côte d'Ivoire,Grinding,,Limak Africa (Limak Çimento / Akfirbat),Abidjan,Operating,5.363028,-3.9788040000000002,GCD,Approximate,,Limak Africa SA,,2018.0,http://www.limak.com.tr/sectors/cement/factories/limak-africa-sa-ivory-coast-grinding-and-packing-factory,2020-02-13,4298442379.0,Limak Holding AS,1Mt/yr (Due in 2019?),,,,,1.0,Mt/yr,,,
DJI,DJI0001,Djibouti,Integrated,,Cimenterie d’Ali Sabieh,"Gabode Yacunitlmi, Said",Operating,11.595547999999999,43.14885,GCD,Approximate,,,,,,,,,0.2Mt/yr,,,,,0.2,Mt/yr,,Tel: +253 21 345 093,
DOM,DOM0002,Dominican Republic,Grinding,Cemento Panamericano Plant,Cemento Panam,"Villa Gautier, San Pedro",Operating,18.4844903,-69.569469,GCD,Approximate,,,,,,,,,,,,,,,,,Tel: +1 809 541 8000 ( / 247 3434),
DOM,DOM0004,Dominican Republic,Grinding,Cementos Colon Plant,Cementos Colón en República Dominicana (Cementos Argos),"Bella Vista, Santo Domingo",Operating,18.4522046,-69.9484723,GCD,Approximate,,,,,,,,,,,,,,,,,Tel: +1 809 508 3939,Fax: +1 809 535 8305
ECU,ECU0003,Ecuador,Grinding,Cuenca Plant,Hormicreto,"Cuenca, Azuay",Operating,-2.86669075,-79.19333413,GCD,Approximate,,,,,,,,,0.3Mt/yr (Upgrades ongoing),,,,,0.3,Mt/yr,,,
EGY,EGY0022,Egypt,Grinding,SPEGYCO Plant,Spanish Egyptian Cement Company (SPEGYCO),"El Raswa, Port Said",Operating,31.233333000000002,32.3,GCD,Approximate,,,,,,,,,0.6Mt/yr,,,,,0.6,Mt/yr,Gamal A El Satar,Tel: +20 663 776 096,Fax: +20 663 776 937
ETH,ETH0001,Ethiopia,Grinding,Addis Ababa Plant,Avorniga,"Addis Ababa, Kirkos, Gotera",Operating,8.982078199999991,38.7584682,GCD,Approximate,,,,,,,,,0.16Mt/yr,,,,,0.16,Mt/yr,,,
ETH,ETH0006,Ethiopia,Integrated,HCSCo Plant,Habesha Cement (38% PPC),"Holeta, Oromia",Operating,9.06524709999999,38.4936764,GCD,Approximate,,,,,,,,,1.4Mt/yr,,,,,1.4,Mt/yr,Gizaw Mariam,Tel: +251 118 601 314,Fax: +215 114 667 044
ETH,ETH0011,Ethiopia,Grinding,Chancho Plant,National Cement,Chancho,Operating,9.307037,38.753103,GCD,Approximate,,,,,,,,,0.2Mt/yr,,,,,0.2,Mt/yr,,,
FIN,FIN0004,Finland,Grinding,Kristiinankaupunki Plant,Sibelco Nordic,"Karhusaari, Syväsatamantie, Kristiinankaupunki",Operating,62.277448,21.349987,GCD,Approximate,,,,,,,,,,,,,,,,,Tel: +358 2544 3261,Fax: +358 2 544 3263
GMB,GMB0001,Gambia,Grinding,Banjul grinding plant,Salam Company,Banjul,Operating,13.454895,-16.579147,GCD,Approximate,,,,,,,,,0.3Mt/yr Launching in mid-2019,,,,,0.3,Mt/yr,,,
GHA,GHA0009,Ghana,Grinding,"Bokro Plant, Bokro",Diamond Cement (WACEM),,Operating,6.66587,-1.619197,GCD,Approximate,,,,,,,,,1.0Mt/yr,,,,,1.0,Mt/yr,,,
GNB,GNB0001,Guinea-Bissau,Grinding,Bissau grinding plant,CIMAF,Bissau,Operating,11.862489,-15.584342999999999,GCD,Approximate,,,,,,,,,0.3Mt/yr Launching at end 2018,,,,,0.3,Mt/yr,,,
GUY,GUY0001,Guyana,Integrated,Everton Berbice Plant,Caricom Cement,"Everton, Region Six, East Berbice- Corentyne",Operating,3.8969445,-58.14115187,GCD,Approximate,,,,,,,,,0.5Mt/yr,,,,,0.5,Mt/yr,,,
IRN,IRN0046,"Iran, Islamic Republic of",Integrated,,Jovien Sabrevar Cement,Mashhad,Operating,36.261345,59.617566000000004,GCD,Approximate,,,,,,,,,1 Dry - 1.46Mt/yr,1.0,Dry,,,1.46,Mt/yr,,+9857 2567 3701,
IRN,IRN0048,"Iran, Islamic Republic of",Integrated,Khamseh Plant,Khamseh Cement,Zarjan-Bijar,Operating,32.940749600000004,52.9471344,GCD,Approximate,,,,,,,,,1.1Mt/yr,,,,,1.1,Mt/yr,Mr Soltanian,Tel: +98 24 1728 6407,
IRN,IRN0050,"Iran, Islamic Republic of",Integrated,Kohgiluyeh Plant,Yasuj Cement Company,Yasouj,Operating,29.7921594999999,52.41660460000001,GCD,Approximate,,,,,,,,,1 Dry - 0.7Mt/yr,1.0,DRY,,,0.7,Mt/yr,M Pour Karin,Tel: +987433262353,Fax: +987433262354
IRN,IRN0054,"Iran, Islamic Republic of",Grinding,Majd Khaf Plant,Majd Khaf Cement,"Razavi, Khordestan",Operating,35.964949,47.126275,GCD,Approximate,,,,,,,,,1.0Mt/yr clinker grinding plant,,,,,1.0,Mt/yr,K H Asaroodi,Tel: +98 53 2422 9512,
IRN,IRN0063,"Iran, Islamic Republic of",Integrated,Omran Sirjan Plant,Omran Sirjan Cement,,Operating,29.459735,55.671656999999996,GCD,Approximate,,,,,,,,,,,,,,,,,+98 34 5523 2315,
IRN,IRN0068,"Iran, Islamic Republic of",Integrated,,Sardar Cement,Bookan,Operating,35.8162586,51.445851899999894,GCD,Approximate,,,,,,,,,1 Dry - 1.5Mt/yr,1.0,DRY,,,1.5,Mt/yr,Alireza Sardar Shahid,Tel: +98 48 2653 3514,
ITA,ITA0001,Italy,Grinding,,Aalborg White Italia,Ravenna Terminal,Operating,44.457238000000004,12.247874000000001,GCD,Approximate,,,,,,,,,,,,,,,,,+39 0632 4931,+39 0632 493326
ITA,ITA0066,Italy,Integrated,Cava de Terreni Plant,Itamenticem,"Cava di Terreni, Salerno",Operating,40.6801561,14.7596754,GCD,Approximate,,,,,,,,,1 Dry - 0.77Mt/yr,1.0,Dry,,,0.77,Mt/yr,,+39 036 397 118,+39 036 397 119
ITA,ITA0073,Italy,Grinding,Cadola Plant,Wietersdorfer & Peggauer,"Ponte Nelle Alpi, Belluno",Operating,46.161779700000004,12.2988054,GCD,Approximate,,,,,,,,,1 Dry - 0.3Mt/yr,1.0,DRY,,,0.3,Mt/yr,Massimo Veglia,Tel: +39 437 999 594,Fax: +39 437 999 594
KEN,KEN0011,Kenya,Grinding,National Cement Plant,National Cement,"Mombasa Road, Nairobi",Operating,-1.3294263000000002,36.876126,GCD,Approximate,,,,,,,,,0.2Mt/yr (Expansion planned) R Kemoli,,,,,0.2,Mt/yr,,,+254 2202 8169
PRK,PRK0001,"Korea, Democratic People's Republic of",Integrated,Rajin-Sonbong Special Economic Zone (Project),Rason Cement Project,,Operating,40.37366110000001,127.08704170000001,GCD,Approximate,,,,,,,,,,,,,,,,,,
PRK,PRK0003,"Korea, Democratic People's Republic of",Integrated,Gomusan Plant,State-owned Gomusan Cement,"Cheongjin, Hamgyongbuk",Operating,41.768188,129.72021,GCD,Approximate,,,,,,,,,2.0Mt/yr,,,,,2.0,Mt/yr,,,
PRK,PRK0004,"Korea, Democratic People's Republic of",Integrated,Samgwong Plant,State-owned Samgwong Cement,"Samgwong, Kangwon",Operating,39.16821420000001,127.4251863,GCD,Approximate,,,,,,,,,2.0Mt/yr,,,,,2.0,Mt/yr,,,
KOR,KOR0010,"Korea, Republic of",Grinding,Yeoju Plant,Hyundai Cement,"Heungcheon-myeon, Gyeonggi-do",Operating,37.346579999999896,127.53142,GCD,Approximate,,,,,,,,,,,,,,,,,Tel: +82 31 883 8734,Fax: +82 31 883 8736
KOR,KOR0017,"Korea, Republic of",Integrated,Sam Chuk Plant,Korea Cement,Sam Chuk,Operating,28.5897641,77.180038,GCD,Approximate,,,,,,,,,1 Dry - 1.5Mt/yr,1.0,DRY,,,1.5,Mt/yr,Ahn Jong Nam,Tel: +82 39 5540 0300,
KOR,KOR0018,"Korea, Republic of",Grinding,Soosung Slag Plant,Halla Cement (Asia Cement),Gyeonbuk,Operating,28.5897641,77.180038,GCD,Approximate,,,,,,,,,,,,,,,,,,
KOR,KOR0024,"Korea, Republic of",Grinding,Mokpo Slag Plant,Sun Cement,"Mokpo, Jeollanam-do",Operating,34.7903335,126.3847547,GCD,Approximate,,,,,,,,,New 0.4Mt/yr Loesche,,,,,0.4,Mt/yr,,,
KOR,KOR0034,"Korea, Republic of",Grinding,Daegu Plant,SungShin Cement,"Yongam-meon, Seongju, Gyeongsangbuk-do",Operating,35.919177000000005,128.283168,GCD,Approximate,4295881244.0,Sungshin Cement Co Ltd,,,http://www.sungshincement.co.kr/2010/2019/eng/01_comp/03_establishment.asp,2020-02-11,4295881244.0,Sungshin Cement Co Ltd,,,,,,,,,Tel: +82 54 931 8802 ( / 3),Fax: +82 54 931 8804
LAO,LAO0001,Lao People's Democratic Republic,Integrated,,Oudomxay Cement Factory,"Namor, Oudomxay",Operating,20.2386431,101.7536598,GCD,Approximate,,,,,,,,,1.0Mt/yr,,,,,1.0,Mt/yr,,,
LAO,LAO0004,Lao People's Democratic Republic,Integrated,,Lao Cement Industrial,"Saythany, Vientiane",Operating,17.964098800000002,102.6133707,GCD,Approximate,,,,,,,,,1Mt/yr,,,,,1.0,Mt/yr,,,
LAO,LAO0010,Lao People's Democratic Republic,Integrated,Wanrong Cement III,Wanrong Cement,Savannakhet,Operating,20.0171109,103.378253,GCD,Approximate,,,,,,,,,0.2Mt/yr,,,,,0.2,Mt/yr,,,
LAO,LAO0011a,Lao People's Democratic Republic,Integrated,Wanrong Cement I,Wanrong Cement,"Vangvieng, Vientane",Operating,17.964098800000002,102.6133707,GCD,Approximate,,,,,,,,,0.1Mt/yr,,,,,0.1,Mt/yr,,,
LAO,LAO0011b,Lao People's Democratic Republic,Integrated,Wanrong Cement II,Wanrong Cement,"Vangvieng, Vientane",Operating,17.964098800000002,102.6133707,GCD,Approximate,,,,,,,,,0.2Mt/yr,,,,,0.2,Mt/yr,,,
LAO,LAO0012,Lao People's Democratic Republic,Integrated,,Wanrong Cement,"Xaythany, Vientiane",Operating,18.14993055,102.72707170000001,GCD,Approximate,,,,,,,,,0.20Mt/yr,,,,,0.2,Mt/yr,,,
LAO,LAO0017,Lao People's Democratic Republic,Integrated,,Laos Ganmentac Cement,Khammouan,Operating,17.638717,105.22763799999998,GCD,Approximate,,,,,,,,,,,,,,,,,,
LAO,LAO0018,Lao People's Democratic Republic,Integrated,,Jixiang Cement,Khammouane,Operating,18.212653,104.537463,GCD,Approximate,,,,,,,,,1.0Mt/yr,,,,,1.0,Mt/yr,,,
LBY,LBY0003,Libyan Arab Jamahiriya,Integrated,Souk Al Khamis Plant,Ahlia (Arab) Cement,Souk Al Khamis,Operating,26.8234472,18.1236723,GCD,Approximate,,,,,,,,,2 Dry - 1.0Mt/yr,2.0,DRY,,,1.0,Mt/yr,Mohamed Ghannour,Tel: +218 215 703 002,Fax: +218 215 703 008
LBY,LBY0008,Libyan Arab Jamahiriya,Integrated,Hawari Plant,The Libyan Cement Company (Asamer),"Hawari, Benghazi",Operating,32.117076000000004,20.067003600000003,GCD,Approximate,5040956122.0,Libyan Cement Company Inc,,,http://lcc.ly/en/benghazi-plant/,2020-05-20,5040956122.0,Libyan Cement Company Inc,2 Dry - 1.0Mt/yr,2.0,DRY,,,1.0,Mt/yr,Robert Solomon,Tel: +218 612 235 812,Fax: +218 612 235 810
MRT,MRT0005,Mauritania,Grinding,Nouadhibou Plant,Ciments du Nord- Cinor,,Operating,20.942142999999998,-17.035186,GCD,Approximate,,,,,,,,,,,,,,,,,,
MDA,MDA0002,"Moldova, Republic of",Integrated,Rybnitsky Plant,Rybnitsky Cement-and- AC integrated plant,Rybnitsa,Operating,47.75100447418846,28.95300949418846,GCD,Approximate,,,,,,,,,3 Semidry - 1.0Mt/yr,3.0,SEMIDRY,,,1.0,Mt/yr,Victor Ryaboy,Tel: +373 55 302 95,Fax: +373 55 304 81
MDA,MDA0003,"Moldova, Republic of",Integrated,Mordor Plant,Mordor Cement,"Mordor, Tolkn region",Operating,47.41036,28.362771999999996,GCD,Approximate,,,,,,,,,1 Wet – 0.05 Mt/yr,1.0,WET,,,0.05,Mt/yr,Ugi Nikabolokov,Tel +373 55 302 99,Fax +373 55 302 27
MOZ,MOZ0014,Mozambique,Grinding,,African Elephant,"Metuge, Cabo Delgado",Operating,-12.973215,40.386643,GCD,Approximate,,,,,,,,,0.3Mt/yr,,,,,0.3,Mt/yr,,Tel: +258 845 609 903,
RUS,RUS0001,Russian Federation,Integrated,Achinsky Glinoziemskij Kombinat Plant,Achinsky Glinoziemskij Kombinat,"Achinsk, Krasnoyarsk",Operating,56.2694846,90.4953964,GCD,Approximate,,,,,,,,,5 Wet - 3.5Mt/yr,5.0,WET,,,3.5,Mt/yr,Sheptalin Sergei Vladimirovich,Tel: +7 39 1516 9401,Fax: +7 39 1517 9990
RUS,RUS0010,Russian Federation,Integrated,,Cement Co Ltd,Leningrad,Operating,59.938731999999895,30.3162289999999,GCD,Approximate,,,,,,,,,Dry -1.9Mt/yr,,,,,1.9,Mt/yr,Begoulev Sergei Anatolievich,Tel: +7 81 3747 2400,Fax: +7 81 3747 2401
RUS,RUS0031,Russian Federation,Grinding,Timlyuisky Plant,Group Construction & Thermal Technology,"Kabansky, Buryatia",Operating,51.9506547,106.43622479999901,GCD,Approximate,,,,,,,,,0.3Mt/yr,,,,,0.3,Mt/yr,,Tel: +7 83 0138 78720,
RUS,RUS0036,Russian Federation,Integrated,,Industriya-Plus,"Saratov, Saratovskaya",Operating,44.7115766,39.2164899,GCD,Approximate,,,,,,,,,Dry - 2.0Mt/yr,,,,,2.0,Mt/yr,Ryabov Viktor Sultanshanovich,Tel: +7 84 5937 7271,Fax: +7 84 5926 5512
RUS,RUS0040,Russian Federation,Integrated,Kamensky Plant,Kamensky Cement,"Kamensk, Buryatiya",Operating,51.983513,106.583969,GCD,Approximate,,,,,,,,,3 Wet - 0.6Mt/yr,3.0,WET,,,0.6,Mt/yr,Nikolai Silayev,Tel: +7 30 1389 5133,Fax: +7 30 1384 1819
RUS,RUS0042,Russian Federation,Integrated,Slantsy Cement Plant,LSR (HeidelbergCement),Slantsy/Leningrad/St Petersburg,Operating,59.117259999999895,28.086979,GCD,Approximate,,,,,,,,,1.0Mt/yr,,,,,1.0,Mt/yr,Silvio Tide,Tel: +7 81 3747 2341,Fax: +7 81 3747 2181
RUS,RUS0048,Russian Federation,Grinding,Makhachkala Plant,Management Company Confederation,"Makhachkala, Dagestan",Operating,42.97554,47.49612,GCD,Approximate,,,,,,,,,0.9Mt/yr,,,,,0.9,Mt/yr,,Tel: +7 87 2262 3766,Fax: +7 87 2262 4048
RUS,RUS0052,Russian Federation,Integrated,,Nizhny Novgorod Cement,"Nizhny Novgorod, Pervomaisky",Operating,55.212865,44.9627,GCD,Approximate,,,,,,,,,2.0Mt/yr,,,,,2.0,Mt/yr,,,
RUS,RUS0054,Russian Federation,Integrated,,North Cement,Komi,Operating,63.9881421,54.3326073,GCD,Approximate,,,,,,,,,Dry - 0.5Mt/yr,,,,,0.5,Mt/yr,Lomako Aleksandr Vasilievich,Tel: +7 82 1512 5673,
RUS,RUS0061,Russian Federation,Integrated,,Objedinennie Zavodi Gruppi,Moscow,Operating,55.7507178,37.6176606,GCD,Approximate,,,,,,,,,0.01Mt/yr,,,,,0.01,Mt/yr,Kosoi Uriy Anatolievich,Tel: +7 49 5500 0920,
RUS,RUS0063,Russian Federation,Integrated,,Pashiyskiy Metallurgical Cement,Perm,Operating,58.014965000000004,56.246722999999896,GCD,Approximate,,,,,,,,,Wet - 0.1Mt/yr,,,,,0.1,Mt/yr,Kamenskikh Anton Aleksandrovich,Tel: +7 34 2693 9500,Fax: +7 34 2693 9719
RUS,RUS0065,Russian Federation,Integrated,Renman Plant,Renman,Moscow,Operating,55.7507178,37.6176606,GCD,Approximate,,,,,,,,,1 Wet & 1 Dry - 1.2Mt/yr,1.0,WET,1.0,DRY,1.2,Mt/yr,Andrei Vlasov,Tel: +7 80 95 2900 812,Fax: +7 80 95 5809 913
RUS,RUS0066,Russian Federation,Integrated,Regionreservcement Plant,Rosagropromstroy Corporation Regionreservcement,"Sengily, Ulyanovsk",Operating,54.3107593,48.3642771,GCD,Approximate,,,,,,,,,2 Wet - 0.1Mt/yr,2.0,WET,,,0.1,Mt/yr,Askerov Valery Yuriyevich,Tel: +7 84 2332 9125,Fax: +7 84 2332 9125
RUS,RUS0067,Russian Federation,Integrated,Soda Cement Production,SODA,"Facility, Sterlitamak",Operating,53.632374,55.952259,GCD,Approximate,,,,,,,,,4 Wet - 0.83Mt/yr,4.0,Wet,,,0.83,Mt/yr,,Tel: +7 34 7329 9077,Fax: +7 34 7325 6116
RUS,RUS0074,Russian Federation,Integrated,Sukholozhsky Cement plant,Starocementny Zavod,"Sukholozhsky, Sverdlovsk",Operating,56.839104000000006,60.60825,GCD,Approximate,,,,,,,,,1Mt/yr,,,,,1.0,Mt/yr,Eduard Viktorovich Glizin,Tel: +7 34 3737 3244,Fax: +7 34 3733 4990
RUS,RUS0077,Russian Federation,Integrated,Volsky Asbestos-Cement Products Plant,Volsky Asbestos-Cement Products,"Volsk, Saratov",Operating,52.042755,47.386032,GCD,Approximate,,,,,,,,,2 Wet - 2.0Mt/yr,2.0,WET,,,2.0,Mt/yr,Grigoriev Sergei Viktorovich,Tel: +7 84 5935 9017,Fax: +7 84 5935 9517
RUS,RUS0080,Russian Federation,Integrated,Yashkinsky Building Materials Plant,Yashkinsky Building Materials,"Yashkino, Kemerovo",Operating,55.873089,85.427689,GCD,Approximate,,,,,,,,,3 Wet - 0.4Mt/yr,3.0,WET,,,0.4,Mt/yr,Yevgeny Baldakov,Tel: +7 38 4552 1841,Fax: +7 38 4552 1688
RUS,RUS0084,Russian Federation,Grinding,,Azadegan Cement,Yazd,Operating,31.893931,54.354859999999995,GCD,Approximate,,,,,,,,,Clinker grinding plant,,,,,,,Mr Sajadi,Tel: +98 35 1725 2004,
RWA,RWA0001,Rwanda,Grinding,Kigali Plant,ARM Cement,Kigali,Operating,-1.88595969999999,30.1296751,GCD,Approximate,4295917414.0,ARM Cement Plc,0.1,,https://www.armcement.com/,2020-06-22,4295917414.0,ARM Cement Plc,0.1Mt/yr,,,,,0.1,Mt/yr,,Tel: +250 788 383 625,
RWA,RWA0004,Rwanda,Grinding,Musanze Plant,Prime Cement,Musanze,Operating,-1.516785,29.594172999999998,GCD,Approximate,,,,,,,,,0.7Mt/yr (FLSmidth) ‘Coming mid-2019’,,,,,0.7,Mt/yr,,,
ZAF,ZAF0017,South Africa,Grinding,Saldanha Slag Plant,PPC,"Saldanha, Western Cape",Operating,-32.9977778,17.945555600000002,GCD,Approximate,4295888664.0,PPC Ltd,,,https://www.ppc.africa/za/contact-us/cement,2020-07-21,4295888664.0,PPC Ltd,0.25Mt/yr,,,,,0.25,Mt/yr,,Tel: +27 22 703 8400,Fax: +27 22 461 2388
SDN,SDN0004,Sudan,Grinding,,Aslan Cement,Khartoum City (South),Operating,15.593325,32.53565,GCD,Approximate,,,,,,,,,0.4Mt/yr,,,,,0.4,Mt/yr,,,
SDN,SDN0007,Sudan,Grinding,,Dubai Cement,Khartoum City (South),Operating,15.593325,32.53565,GCD,Approximate,,,,,,,,,0.04t/yr,,,,,0.04,t/yr,Abu Obaida Morad,Tel: + 249 912 823 928,
SYR,SYR0002,Syrian Arab Republic,Grinding,"Al Raqqah Plant,",Al Raqqah Cement (Güris Inşaat Mühendislik),"Al Raqqah, Gorish, near Qanja January 2020 - Damanged, not working",Operating,35.849052,38.7408492,GCD,Approximate,,,,,,,,,1.5Mt/yr - Loesche 2x LM 41.2+2 C,,,,,1.5,Mt/yr,,Tel: + 963 22 253 914,Fax: + 963 22 253 915
SYR,SYR0005,Syrian Arab Republic,Grinding,Al-Hasakah Plant,Al-Hasakah Cement (Güris Inşaat Mühendislik),"Al-Hasakah, Yaurubiyah",Operating,36.508613000000004,40.746809000000006,GCD,Approximate,,,,,,,,,0.9Mt/yr,,,,,0.9,Mt/yr,,Tel: +963 52 741 490,Fax: +963 52 741 490
SYR,SYR0009,Syrian Arab Republic,Integrated,,Guris Insaat ve Muhendislik,Al Raqqah,Operating,35.849052,38.7408492,GCD,Approximate,,,,,,,,,1.46Mt/yr,,,,,1.46,Mt/yr,,,
SYR,SYR0011,Syrian Arab Republic,Integrated,Aleppo Plant,Military Housing Est Cement Group,"Al-Muslimiyah, Aleppo",Operating,36.19924,37.163725299999896,GCD,Approximate,,,,,,,,,1 Dry - 0.3Mt/yr - In production,1.0,DRY,,,0.3,Mt/yr,Salami Mohammed Salami,Tel: +963 112 226 571,Fax: +963 112 243 616
TWN,TWN0003,"Taiwan, Province of China",Integrated,Kaohsiung Plant,Cheng Tai Cement Corporation,"Kaohsiung, Nantze",Operating,22.717094,120.30190800000001,GCD,Approximate,,,,,,,,,1 Dry - 0.4Mt/yr,1.0,DRY,,,0.4,Mt/yr,Min Tuan Chen,Tel: +886 7342 1333,Fax: +886 7342 5343
TWN,TWN0004,"Taiwan, Province of China",Integrated,Kangshan Plant,Chia Hsin Cement Corporation,Kaohsiung,Operating,22.6203348,120.3120375,GCD,Approximate,,,,,,,,,2 Dry - 1.7Mt/yr,2.0,DRY,,,1.7,Mt/yr,Y P Chang,Tel: +886 2 2551 5211,Fax: +886 2 2581 8320
TWN,TWN0005,"Taiwan, Province of China",Integrated,Kaohsiung Plant,Chien Tai Cement,Kaohsiung,Operating,22.6203348,120.3120375,GCD,Approximate,,,,,,,,,2 Dry - 1.7Mt/yr,2.0,DRY,,,1.7,Mt/yr,Hsiung-Shang Li,Tel: +886 7 5811 1118,Fax: +886 7 5825 301
TWN,TWN0006,"Taiwan, Province of China",Integrated,Tung Shan Plant,China Rebar,Tung Shan,Operating,21.26274475,99.64263391,GCD,Approximate,,,,,,,,,1 Dry - 1.0Mt/yr,1.0,DRY,,,1.0,Mt/yr,Wu-Fu Lin,Tel: +886 3959 1116,Fax: +886 3959 1118
TWN,TWN0007,"Taiwan, Province of China",Integrated,Chia-I-Plant,Hsin Hsin Cement Enterprise,Chia,Operating,25.0452508,121.51466119999901,GCD,Approximate,,,,,,,,,1 Dry - 0.8Mt/yr,1.0,DRY,,,0.8,Mt/yr,Huang Ching Fong,Tel: +886 2 2508 4468,Fax: +886 2 2501 5332
