tile_id,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
MGRS-44TNQ-0092-2020-02,3,Grinding,Dry,151629.7725849943,157565.98928721127,178186.12685671204,104.75879312376873,0.0,314.2763793713062
MGRS-44TNQ-0100-2020-02,3,Integrated,Dry,265121.45750504674,290296.4779994956,363351.32452474063,177.351554492082,260.04387196085145,272.01079151539454
MGRS-44TPM-0118-2020-04,3,Integrated,Dry,372554.3795553665,375021.69911251613,434524.31943884364,509.2149431649109,509.9951357740212,565.3014452121699
MGRS-44TPM-0128-2020-04,3,Integrated,Dry,558052.7147696642,562082.9865455034,563488.5047772288,309.1782675971301,335.60629000561175,353.47288865676774
MGRS-44TPS-0037-2020-01,1,Grinding,Wet,80972.32801147542,80972.32801147542,80972.32801147542,0.0,0.0,0.0
MGRS-44TQQ-0038-2020-05-3,1,Grinding,Wet,343416.01868694887,343416.01868694887,343416.01868694887,0.0,0.0,0.0
MGRS-45SXD-0434-2020-01,1,Grinding,Wet,329869.85180474934,329869.85180474934,329869.85180474934,0.0,0.0,0.0
MGRS-45TUK-0141-2020-03,2,Integrated,Dry,425097.65362821845,425097.65362821845,432386.21981369867,283.8257137306001,283.8257137306001,286.8681079503786
MGRS-45TVG-0250-2020-01,3,Integrated,Dry,293608.5437589112,318441.27293199056,324089.2678881764,291.7534442493533,303.23802622348825,339.08961848645396
MGRS-45TVG-0305-2020-01,3,Integrated,Dry,332871.6626201105,379833.0097628754,395231.22764995805,400.57145465550184,458.4300026359444,488.7440972112215
MGRS-45TVK-0004-2020-01,1,Grinding,Wet,1508086.0008151801,1508086.0008151801,1508086.0008151801,0.0,0.0,0.0
MGRS-45TVN-0075-2020-01,3,Integrated,Dry,206158.25565098893,205592.48068394826,208353.0352056931,227.86614097106178,205.5134123941559,289.5967944893218
MGRS-45TWJ-0136-2020-01,3,Integrated,Dry,625184.0245160912,499430.089299924,930165.5793788279,460.22014276884846,449.8030649040702,516.6604662862528
MGRS-45TWJ-0362-2020-01,3,Integrated,Dry,247265.40399004697,57019.404987506365,629340.1839713338,195.65080659219976,199.54472291095755,203.88093534097848
MGRS-45TWJ-0536-2020-01,3,Integrated,Dry,705382.6662931987,754234.5648710141,796562.1165883606,317.9376290892405,303.53321162375784,360.2372843539372
MGRS-45TWJ-0569-2020-01,3,Integrated,Dry,440771.3849059583,418849.68563380465,741655.0852759425,453.67072415320627,407.5997214374848,563.5404457276154
MGRS-45TXH-0115-2020-12-1,3,Integrated,Dry,288293.60211354407,288108.1722452821,292152.2998147082,442.6679473927813,506.699804830502,632.4403757938719
MGRS-45TXH-0115-2020-12-2,1,Integrated,Dry,0.0,0.0,0.0,824.501812484205,824.501812484205,824.501812484205
MGRS-45TXH-0115-2020-12-3,3,Integrated,Dry,577804.8247769357,528779.7680994953,727137.8462621642,589.2898415837009,600.6398476227923,645.2652562269673
MGRS-45TXH-0474-2020-12,3,Integrated,Wet,478771.8598361558,637295.1818574446,641805.5130264263,966.7755683788572,933.7337243245476,1130.1840757863913
MGRS-45TXH-0475-2020-12,3,Integrated,Dry,264429.238930429,247781.08534949232,301289.7262416774,278.3411673470726,267.3313655750974,329.7956227381075
MGRS-45TXH-0481-2020-12,3,Integrated,Dry,361885.76015140774,321297.6271653493,547371.6937174618,222.57747412025648,210.6595540317619,248.9044434135108
MGRS-45TXJ-0022-2020-04,3,Integrated,Dry,379683.53574174957,373772.69242086,394070.2685090437,166.0684410818019,179.26744404414148,180.37098108520402
MGRS-45TXK-0053-2020-02,1,Grinding,Wet,45911.78554192865,45911.78554192865,45911.78554192865,0.0,0.0,0.0
MGRS-45TXK-0057-2020-02,2,Grinding,Wet,1626819.4920019805,1626819.4920019805,3191473.059801422,0.0,0.0,0.0
MGRS-45TXM-0008-2020-01,2,Integrated,Dry,211182.81523958762,211182.81523958762,212694.28253351938,209.25792509469215,209.25792509469215,212.586206852375
MGRS-45TXM-0009-2020-01,3,Integrated,Dry,244827.75460306622,247913.99279638854,278292.4708770601,227.00260672855077,236.81651401080282,248.6681601116501
MGRS-45UVP-0118-2020-01,2,Integrated,Dry,203389.436131359,203389.436131359,205211.93844632088,253.81697404247478,253.81697404247478,257.8857414156067
MGRS-46RBT-0028-2020-01-1,2,Integrated,Dry,355717.6120161577,355717.6120161577,378238.4934037506,368.18700258386315,368.18700258386315,435.2453854119694
MGRS-46RBT-0028-2020-01-2,3,Integrated,Dry,660053.2301177171,596451.2194698489,973426.1615968181,630.808095915665,619.2009764316341,858.2778606678883
MGRS-46RCT-0419-2020-01,3,Integrated,Dry,293374.5166362198,298483.19788072864,300767.6562183403,260.6348329865572,261.51847797514563,279.33812313934544
MGRS-46SFE-0038-2020-02,3,Integrated,Dry,401839.9094972105,437210.0946808982,440861.8955521249,287.7381202310159,286.88799336032486,339.2091873739465
MGRS-46SFJ-0074-2020-01,2,Integrated,Dry,471725.9804392238,471725.9804392238,592183.0627693724,381.0880589244929,381.0880589244929,391.01881186306207
MGRS-46SFJ-0075-2020-01,3,Integrated,Dry,368949.827322965,249907.82229638353,614627.639590106,379.4408208796596,394.33870796278336,417.1838453964993
MGRS-46TEN-0183-2020-01,2,Integrated,Dry,504929.65503448586,504929.65503448586,706420.5472417104,1051.5157344918653,1051.5157344918653,1895.3057634890918
MGRS-46TEN-0185-2020-01-1,3,Integrated,Dry,335023.9459029877,197611.0539470879,724519.6178360732,101.35719385755657,151.21010469570393,152.86147687696575
MGRS-46TEN-0185-2020-01-2,3,Integrated,Dry,562819.3030817059,565553.097391844,607027.0834929477,612.3228315729543,602.8574696309239,635.021393977524
MGRS-46TEN-0189-2020-01,3,Integrated,Dry,637076.3296266665,768025.7830757746,795866.4218388762,269.73245502925664,261.3712020624986,299.8190059316805
MGRS-46TEN-0383-2020-01,3,Integrated,Dry,166491.52308432554,147325.13729033002,226167.35488046904,190.5085891035812,197.9099629253873,203.65999123672083
MGRS-46TFK-0138-2020-01,3,Integrated,Dry,183780.7555231787,199113.00694341803,202005.59674992214,301.77835405747624,262.972558626543,386.6712885557253
MGRS-47QPF-0095-2020-01,3,Integrated,Dry,156510.99975105163,169444.9579221519,178712.13910314915,271.9952212366841,267.30453831267795,348.8295962330838
MGRS-47QRG-0108-2020-01,3,Integrated,Wet,32424.156384486705,27902.636370490032,58232.54010540959,234.29536657078248,241.45767884812312,263.36840877373623
MGRS-47QRG-0275-2020-01,3,Integrated,Dry,380437.75709265197,379473.7404031407,387641.8821732454,212.56445729247432,209.1579594613499,428.5354124160731
MGRS-47QRG-0473-2020-01,3,Integrated,Dry,240948.59588610422,241811.12779192365,244797.79686264944,275.3961877222705,314.5685532495334,346.6224037162814
MGRS-47RMJ-0222-2020-01,3,Integrated,Dry,262866.8098175159,226048.1132299276,355524.97715371795,280.14953772264715,265.803880878533,324.6867303241375
MGRS-47RNH-0017-2020-02,3,Integrated,Dry,375141.3569574415,383468.5644746293,450380.3070904022,683.4400549082163,644.8304800810455,834.8595129543303
MGRS-47RNH-0018-2020-02,3,Integrated,Dry,285603.85475524346,368326.6428187949,401894.7596022333,422.16033342008075,422.2577113523542,511.49359430887023
MGRS-47RNJ-0287-2020-02,3,Integrated,Dry,153925.64659989296,190954.99107154697,193902.85705035063,201.93302971049522,197.29773730504706,251.16113314426931
MGRS-47RNL-0335-2020-01,3,Integrated,Dry,228094.88781640885,217586.35882835425,310076.796349862,351.99703573855857,315.9298069050337,466.5254243272145
MGRS-47RPH-0196-2020-01,3,Integrated,Dry,314689.0244411961,320059.2941329044,336348.5259012564,499.5846233251005,596.1089078435834,617.6941971269298
MGRS-47RPJ-0183-2020-01,3,Integrated,Dry,217616.5453406382,227763.25749606945,238502.28911937057,446.0216920135349,398.3695010276046,570.3597291234499
MGRS-47RPJ-0316-2020-01,3,Integrated,Dry,147481.44646617456,114027.17654784345,227200.28430112137,126.47819613577525,134.49147200633806,143.44721906453978
MGRS-47RPK-0267-2020-01,3,Integrated,Dry,249727.42915540535,259453.1776454823,312113.2355978535,621.5727518911001,607.7321753013173,705.784278495408
MGRS-47RQK-0192-2020-01,3,Integrated,Dry,250784.55174691812,199467.20913139297,360284.68119345896,268.7225237956921,223.6824667692652,371.00859333553467
MGRS-47RQK-0193-2020-01,3,Integrated,Dry,205616.30706622283,187405.13068522696,273106.85483537626,213.74873679398277,189.951740106082,344.6878437189298
MGRS-47RQP-0315-2020-01,3,Integrated,Dry,127970.42311106251,133012.24194911766,136794.73786187285,252.84507938682805,250.09842696858203,282.48777827963323
MGRS-47RRH-0141-2020-01,3,Integrated,Dry,293939.98500389303,405121.3968542867,439785.1193799027,383.51601457792054,396.5755971799285,406.9390251055131
MGRS-47RRH-0289-2020-01,3,Integrated,Dry,467337.35729327594,370517.66284317774,722637.9843298127,403.11902072540283,443.4082589050896,561.3981843001166
MGRS-47RRH-0374-2020-01,1,Grinding,Wet,693213.3080968736,693213.3080968736,693213.3080968736,0.0,0.0,0.0
MGRS-47RRH-0732-2020-01,2,Integrated,Dry,628141.3523227056,628141.3523227056,965665.9750812403,478.59646321639013,478.59646321639013,529.6861999915795
MGRS-47SKB-0153-2020-01,1,Grinding,Wet,1296641.8321008803,1296641.8321008803,1296641.8321008803,0.0,0.0,0.0
MGRS-47SMD-0074-2020-01,3,Integrated,Dry,346750.9959638454,403288.0499905818,458226.66002725007,284.1674039561794,269.5186864310061,380.63520468957006
MGRS-47SPA-0039-2020-01,3,Integrated,Dry,227186.5782987527,227810.18851107094,256315.03030232637,223.1632456606775,228.30013407963858,229.04585919288695
MGRS-47SPD-0285-2020-01,3,Integrated,Dry,232171.7509143029,248388.34330198698,278826.2669164848,261.48076751702956,220.35272209214284,389.27228700328715
MGRS-47SQA-0034-2020-01-1,3,Integrated,Dry,121924.69246919296,132357.229845707,139727.7299885716,234.5890279393015,287.38571480224385,298.8223816706868
MGRS-47SQA-0034-2020-01-2,1,Grinding,Wet,723076.4233102723,723076.4233102723,723076.4233102723,0.0,0.0,0.0
MGRS-47SQA-0034-2020-01-3,1,Grinding,Wet,91511.47024877934,91511.47024877934,91511.47024877934,0.0,0.0,0.0
MGRS-47SQA-0217-2020-01,3,Integrated,Dry,955750.9869925261,699284.4464660262,1664603.8698621164,672.5308263849727,638.7764070566891,769.346913413349
MGRS-47SQA-0241-2020-01-1,1,Grinding,Wet,292829.2951367776,292829.2951367776,292829.2951367776,0.0,0.0,0.0
MGRS-47SQA-0241-2020-01-3,1,Grinding,Wet,383670.1548868846,383670.1548868846,383670.1548868846,0.0,0.0,0.0
MGRS-47SQA-0241-2020-01-4,1,Grinding,Wet,680117.5548123762,680117.5548123762,680117.5548123762,0.0,0.0,0.0
MGRS-47SQA-0290-2020-01,3,Integrated,Dry,358930.63910748955,343793.43819801096,514241.57116090646,412.21325460243895,428.28937759608147,454.2468219407115
MGRS-47SQA-0315-2020-01,3,Integrated,Dry,177553.06770798104,195727.1699876074,212115.47810134524,96.85908680528917,110.5126337425801,125.93860093070555
MGRS-47SQA-0339-2020-01,3,Integrated,Dry,488326.5515358979,473210.9246555451,596089.7889270654,461.438681403688,541.2868875374672,556.0050236947626
MGRS-47SQC-0206-2020-01,2,Integrated,Dry,325300.3665586654,325300.3665586654,325644.00094148016,274.6104962896633,274.6104962896633,291.42952510897265
MGRS-47SQC-0288-2020-01,1,Grinding,Wet,431057.39255754394,431057.39255754394,431057.39255754394,0.0,0.0,0.0
MGRS-47SQV-0369-2020-01,1,Integrated,Dry,107255.19197148125,107255.19197148125,107255.19197148125,86.03820634295312,86.03820634295312,86.03820634295312
MGRS-47TME-0207-2020-01-2,2,Integrated,Wet,74042.81652948844,74042.81652948844,125565.6009036105,229.2404008056299,229.2404008056299,247.8107406662167
MGRS-48QTM-0150-2020-01,2,Integrated,Dry,351134.3770645722,351134.3770645722,515255.2572881267,282.6765993710468,282.6765993710468,411.6203538459036
MGRS-48QTM-0316-2020-01,3,Integrated,Dry,415675.1005256541,426642.0055627473,471623.5714766191,213.926371417169,273.74958806758264,368.0295261839244
MGRS-48QUL-0259-2020-01,3,Integrated,Dry,236021.5266502679,234546.96482301987,293684.8760029207,208.81829485055917,226.62009212026146,245.23008396784215
MGRS-48QVM-0308-2020-01,3,Integrated,Dry,310406.04653478035,308643.6726812753,318510.88438978186,449.61648175985414,368.3395602278515,695.803876290578
MGRS-48QXM-0625-2020-02,3,Integrated,Dry,114065.41664485697,146603.74492242406,160569.502180069,324.01458748623014,300.9856552110783,391.8415441025434
MGRS-48QYK-0570-2020-02,3,Integrated,Dry,419546.64732554933,415610.5701086556,435352.36423059006,664.081376461774,653.8390333620939,752.9752256502732
MGRS-48QYL-0198-2020-01,2,,,165950.93822669183,165950.93822669183,212686.11434723507,70.31050738440034,70.31050738440034,140.62101476880068
MGRS-48QYL-0205-2020-01,2,Grinding,Wet,70770.00180973552,70770.00180973552,75854.78939611839,0.0,0.0,0.0
MGRS-48QYM-0188-2020-01-1,3,Integrated,Dry,229078.15878546625,252514.21719293523,263153.19225901336,283.9119045094983,252.8385431513443,350.3751960305468
MGRS-48QYM-0188-2020-01-2,3,Integrated,Dry,286652.4476996416,300873.7131403261,323414.96238291624,364.75632277891174,362.02237509784965,415.2924451662828
MGRS-48QZK-0651-2020-01,3,Integrated,Dry,432212.9310360524,427530.8244876934,455189.30395975674,513.2243326066558,678.8710534581542,860.8019443618134
MGRS-48QZK-0663-2020-01,3,Integrated,Dry,416496.0685632665,412988.85788139026,432113.2440743471,705.48041371798,631.5222877527824,927.140617214362
MGRS-48QZL-0086-2020-01,3,Integrated,Dry,384505.176284331,332414.189298024,502295.6376836161,343.8395276970956,367.28290316286797,442.13626121556877
MGRS-48QZL-0365-2020-01,2,Grinding,Wet,112764.61543834992,112764.61543834992,166376.18500685858,0.0,0.0,0.0
MGRS-48QZM-0073-2020-01,2,,,41355.129853126964,41355.129853126964,74260.18281590778,88.58271213065827,88.58271213065827,177.16542426131653
MGRS-48QZM-0088-2020-01,3,Integrated,Dry,430179.0812426194,427129.571333956,442495.2120819515,226.0840053219482,263.24109276726404,415.0109231985806
MGRS-48QZM-0255-2020-01,3,Integrated,Dry,397921.3823871473,393879.7292806717,441971.07030596404,373.29666142273805,377.05354101212913,388.5375913917154
MGRS-48RTN-0180-2020-01-1,1,Grinding,Wet,62283.2203327181,62283.2203327181,62283.2203327181,0.0,0.0,0.0
MGRS-48RTN-0331-2020-01-1,2,Grinding,Wet,44363.393805532396,44363.393805532396,48317.37322888533,0.0,0.0,0.0
MGRS-48RTN-0331-2020-01-2,1,Grinding,Wet,201539.0908574801,201539.0908574801,201539.0908574801,0.0,0.0,0.0
MGRS-48RTN-0331-2020-01-3,1,Grinding,Wet,750694.3359025124,750694.3359025124,750694.3359025124,0.0,0.0,0.0
MGRS-48RTN-0331-2020-01-4,1,Grinding,Wet,2542149.7501288773,2542149.7501288773,2542149.7501288773,0.0,0.0,0.0
MGRS-48RTN-0333-2020-01,3,Integrated,Dry,515004.6842975516,480297.384898557,855340.6461828123,524.2075945622539,491.0324749560268,630.656248872469
MGRS-48RTN-0452-2020-01-2,2,Grinding,Wet,92272.60944305063,92272.60944305063,110083.6768354483,0.0,0.0,0.0
MGRS-48RTN-0481-2020-01,1,Grinding,Wet,74398.16789711945,74398.16789711945,74398.16789711945,0.0,0.0,0.0
MGRS-48RTN-0504-2020-01,1,Grinding,Wet,541713.429145411,541713.429145411,541713.429145411,0.0,0.0,0.0
MGRS-48RTN-0541-2020-01-1,3,Integrated,Dry,92720.15503982948,100548.45483852926,109377.8036184463,245.09904008803736,247.06775940856159,293.40863374000213
MGRS-48RTN-0635-2020-01,1,Integrated,Dry,46759.950544805535,46759.950544805535,46759.950544805535,10.720360718188685,10.720360718188685,10.720360718188685
MGRS-48RTN-0808-2020-01,3,Integrated,Dry,284197.80340171815,302726.1784375913,343637.4076960301,500.3502381008782,490.0815100830798,606.8126771221506
MGRS-48RTQ-0005-2020-02-1,1,Integrated,Dry,241801.50032198193,241801.50032198193,241801.50032198193,296.0921419827009,296.0921419827009,296.0921419827009
MGRS-48RTR-0061-2020-02,3,Integrated,Dry,229740.4502963168,149685.82705041603,391267.55395945907,251.8159154866475,250.4174823579453,267.5054762742773
MGRS-48RTR-0296-2020-02,3,Integrated,Dry,201405.61250663103,210581.73777278868,213460.28220726538,290.67961915632793,294.1447790836526,317.9023398413142
MGRS-48RTS-0073-2020-04,3,Integrated,Dry,99041.49300629974,105884.52751150852,131580.64521402758,212.91890517109903,204.55969179892324,272.2571457499428
MGRS-48RTS-0231-2020-04,3,Integrated,Dry,203002.98215742648,203005.62479382506,210040.20207132548,416.61996002093133,300.3389348653043,652.9155753779849
MGRS-48RTS-0464-2020-04,3,Integrated,Dry,127615.97231902424,115822.10370569614,169430.576080531,189.04606084963206,175.60241400408177,225.53690543522615
MGRS-48RTT-0128-2020-01,3,Integrated,Dry,134621.80500070186,133652.1899102113,141496.8991506604,242.64313455249325,265.03041743736424,265.5727400295916
MGRS-48RTU-0041-2020-01,3,Integrated,Dry,100958.76595555007,124216.11794162267,136223.97598794894,270.96563310537186,279.6543672006023,301.67521473978496
MGRS-48RTU-0361-2020-01,3,Integrated,Dry,115750.48778231928,115185.91740802386,118538.88505291975,324.67725264579565,343.4069238020214,349.4615825676219
MGRS-48RTU-0395-2020-01,3,Integrated,Dry,116794.83520917302,106008.52473084112,146456.4031925609,239.59020470967613,213.62683801028786,366.31477521446016
MGRS-48RTU-0396-2020-01,3,Integrated,Dry,199449.45216312425,171593.61843747558,280891.51892290474,291.8431371309589,287.63246895700746,321.4714298603784
MGRS-48RUN-0048-2020-01,1,Grinding,Wet,198238.1728703024,198238.1728703024,198238.1728703024,0.0,0.0,0.0
MGRS-48RUN-0195-2020-01,3,Integrated,Dry,127766.4286385073,117348.2126702818,164878.5143505855,451.2332598992563,449.03108289444555,493.4513053348356
MGRS-48RUN-0342-2020-01,3,Integrated,Dry,146847.21491751028,146302.99871354864,163277.17534434082,224.09554831488046,230.22397597430924,244.8110689083159
MGRS-48RUP-0048-2020-05,3,Integrated,Dry,149637.73328516443,135814.97530380738,181580.81067037422,216.63624354476514,233.13229960588475,299.4791250928805
MGRS-48RUR-0023-2020-02,3,Integrated,Dry,155267.63939086007,133149.04839485418,201202.22979934383,303.24776174885545,310.5858935512057,319.8271420847473
MGRS-48RUR-0174-2020-02-1,3,Integrated,Dry,285843.80980201566,166959.46018406827,527602.1013182813,325.05327440737653,320.7689515390431,370.4387706578354
MGRS-48RUR-0174-2020-02-2,3,Integrated,Dry,143755.5933813071,149359.9857125944,161815.1161383215,280.81796187929547,287.5366368737405,306.9967932891582
MGRS-48RUR-0251-2020-02,3,Integrated,Dry,235041.40575416657,241715.90563333765,268288.2742217035,256.3205344721747,259.2560599408617,306.0641932357228
MGRS-48RUT-0157-2020-02-1,1,Grinding,Wet,120793.25268515693,120793.25268515693,120793.25268515693,0.0,0.0,0.0
MGRS-48RUT-0157-2020-02-2,3,Integrated,Dry,79198.53706125675,59465.43928022578,127443.20797959228,289.68959864854264,293.29687041366236,411.30034425952056
MGRS-48RUT-0174-2020-01,3,Integrated,Dry,741338.0646270195,716538.3157566148,796955.6866213824,1525.8465393932586,1841.8644433768195,1897.7240684261053
MGRS-48RUT-0189-2020-01,3,Integrated,Dry,306036.27391033474,248887.93461520283,600351.946026762,194.02237465342654,276.41361531752096,305.65350864275865
MGRS-48RUT-0190-2020-01,3,Integrated,Dry,384054.44325558643,474379.5587513773,544765.1238259461,330.505011471116,335.59174380203933,655.9232906113087
MGRS-48RUT-0398-2020-01,3,Integrated,Dry,142215.20449731377,141816.69262327088,152894.53891659938,288.00879329557677,280.8489405906945,306.3359697834099
MGRS-48RUU-0098-2020-02,3,Integrated,Dry,278295.2145644841,99135.73150495708,640780.4224499878,223.27499159099222,245.8795700420105,267.99445026544555
MGRS-48RUU-0397-2020-01,1,Grinding,Wet,339381.62511425477,339381.62511425477,339381.62511425477,0.0,0.0,0.0
MGRS-48RUU-0480-2020-02,3,Integrated,Dry,259120.88580236558,248695.04560389128,286094.4586991791,340.54143462530146,402.7591174549791,427.8524520465839
MGRS-48RUV-0165-2020-01,3,Integrated,Dry,589210.5533626793,595740.4182080565,600681.2175058557,822.4911215610197,797.1043546593565,1022.4377974947747
MGRS-48RUV-0203-2020-01,3,Integrated,Dry,109791.78817849315,96746.99290243196,136513.8942311625,238.37044110647417,245.8910092288916,294.03516568897885
MGRS-48RUV-0213-2020-01,3,Integrated,Dry,479685.47349441954,471041.6910441427,531316.6281049716,639.1629200420176,693.3379710656151,699.2587386454136
MGRS-48RVN-0003-2020-01,3,Integrated,Dry,200908.31011721867,209437.32654823473,227243.63060159213,329.7475799467093,330.99318786918184,335.8305422707373
MGRS-48RVN-0205-2020-02,1,Grinding,Wet,643677.7104376947,643677.7104376947,643677.7104376947,0.0,0.0,0.0
MGRS-48RVP-0118-2020-01-1,1,Grinding,Wet,772293.1386122137,772293.1386122137,772293.1386122137,0.0,0.0,0.0
MGRS-48RVP-0118-2020-01-2,1,Grinding,Wet,109921.57347093997,109921.57347093997,109921.57347093997,0.0,0.0,0.0
MGRS-48RVP-0118-2020-01-3,2,Integrated,Dry,214687.13837196812,214687.13837196812,249687.6281698843,388.79736939817894,388.79736939817894,457.10297785977065
MGRS-48RVP-0210-2020-02,2,Integrated,Dry,198773.04472833272,198773.04472833272,222348.6294197389,283.5247353300162,283.5247353300162,315.4578322331547
MGRS-48RVP-0349-2020-02,3,Integrated,Dry,250174.73043971212,255371.08275893878,271487.8961926444,234.88149251317225,233.256664617188,295.8059471991292
MGRS-48RVQ-0154-2020-01,2,Grinding,Wet,47241.472621799985,47241.472621799985,58740.32176201709,0.0,0.0,0.0
MGRS-48RVQ-0261-2020-01,3,Integrated,Dry,230488.3498451073,138625.37135211358,427050.8063989086,313.87236871431367,310.15132774640995,363.77883840914194
MGRS-48RVQ-0366-2020-01,3,Integrated,Dry,251954.89529028523,236787.86028415692,354920.4730459445,326.5736174195153,325.88336340395125,384.136292516868
MGRS-48RVQ-0472-2020-01,3,Integrated,Dry,165173.34403855723,167562.6541213558,186853.14345409477,203.88744766304814,195.27538660195324,230.1453749340175
MGRS-48RVQ-0510-2020-01,3,Integrated,Dry,92071.71703715899,103127.323614588,121954.47904103057,123.3978272347784,168.7769905261283,201.4164911782069
MGRS-48RVQ-0733-2020-01,3,Integrated,Dry,207998.95952902324,198793.9081129583,312635.78900511144,535.7468989813176,600.4926346001054,682.0588073835729
MGRS-48RVR-0034-2020-01,3,Integrated,Dry,75378.05163854086,70138.90981003104,85873.54325077479,237.56987712064637,236.67576743260267,293.89865671624403
MGRS-48RVR-0206-2020-01,1,Grinding,Wet,339974.5006783343,339974.5006783343,339974.5006783343,0.0,0.0,0.0
MGRS-48RVR-0322-2020-01,3,Integrated,Wet,156381.6328769642,145799.41832930842,192281.59965963208,211.27326028503194,220.67790162524898,226.26133741484995
MGRS-48RVS-0354-2020-01-1,1,Grinding,Wet,72668.8823730585,72668.8823730585,72668.8823730585,0.0,0.0,0.0
MGRS-48RVS-0543-2020-01,3,Integrated,Dry,218749.85260771995,221531.87588288146,242312.83777490474,514.7295049504751,483.99526668417985,622.2932666771865
MGRS-48RVS-0547-2020-01,3,Integrated,Dry,209263.74694048028,217065.23435404376,217404.05129030845,383.4085810540187,364.14479591726206,447.47046481375946
MGRS-48RVS-0806-2020-01,3,Integrated,Dry,223090.89427966715,216553.3884844137,241464.77640276364,423.1827597082483,460.6165252761843,495.6541806744186
MGRS-48RVT-0015-2020-03,2,Integrated,Dry,284762.61279523536,284762.61279523536,313757.84386409656,329.02013557149974,329.02013557149974,373.8516016125831
MGRS-48RVT-0017-2020-03,3,Integrated,Dry,136123.16697179704,141705.1953955761,145243.41428385637,237.91441169575677,230.79017231773312,326.58563521044425
MGRS-48RVT-0064-2020-03,3,Integrated,Dry,145939.96955494516,134181.3878939739,171503.83179031807,234.4758297995526,224.93654367027537,255.26335713887994
MGRS-48RVT-0463-2020-03,1,Grinding,Wet,405695.95473243715,405695.95473243715,405695.95473243715,0.0,0.0,0.0
MGRS-48RVU-0736-2020-03,3,Integrated,Dry,138511.09854652602,148110.13064365322,149810.46839380637,219.52464436540254,237.88734476625766,261.59739648495565
MGRS-48RVU-0781-2020-03,3,Integrated,Dry,197939.2740766661,203273.29153595847,222168.50718192264,311.9451759654412,305.6255727999353,415.2138938438676
MGRS-48RVU-0783-2020-03,3,Integrated,Dry,101577.95618250813,117320.84212426042,144303.79128419733,271.11362016723945,278.2662752129105,311.1130975475993
MGRS-48RVV-0005-2020-01,3,Integrated,Dry,206036.93117318823,223205.90965947253,250758.0141131872,350.45563506335634,355.3933282831587,375.16648488778884
MGRS-48RVV-0083-2020-01,3,Integrated,Dry,370388.69406970707,237733.69463520235,640936.7142128896,202.03908793906092,223.55322634955274,235.95128397880575
MGRS-48RVV-0171-2020-01-1,2,Integrated,Dry,208096.00017799088,208096.00017799088,334439.53433958505,354.5304527607391,354.5304527607391,369.42934811016704
